Date/Heure,Temperature,Tension 
2016/03/07 17:00:00,6.890,1.31697 
2016/03/07 17:15:00,6.881,1.30678 
2016/03/07 17:30:00,6.868,1.32567 
2016/03/07 17:45:00,6.830,1.30644 
2016/03/07 18:00:00,6.783,1.31342 
2016/03/07 18:15:00,6.764,1.31464 
2016/03/07 18:30:00,6.755,1.31533 
2016/03/07 18:45:00,6.718,1.32242 
2016/03/07 19:00:00,6.679,1.31685 
2016/03/07 19:15:00,6.644,1.31880 
2016/03/07 19:30:00,6.604,1.30457 
2016/03/07 19:45:00,6.580,1.31445 
2016/03/07 20:00:00,6.568,1.31521 
2016/03/07 20:15:00,6.547,1.32612 
2016/03/07 20:30:00,6.518,1.30068 
2016/03/07 20:45:00,6.490,1.31762 
2016/03/07 21:00:00,6.458,1.29328 
2016/03/07 21:15:00,6.434,1.32883 
2016/03/07 21:30:00,6.412,1.30110 
2016/03/07 21:45:00,6.388,1.30617 
2016/03/07 22:00:00,6.349,1.31163 
2016/03/07 22:15:00,6.318,1.31121 
2016/03/07 22:30:00,6.285,1.31331 
2016/03/07 22:45:00,6.266,1.30400 
2016/03/07 23:00:00,6.244,1.31025 
2016/03/07 23:15:00,6.220,1.30518 
2016/03/07 23:30:00,6.194,1.31064 
2016/03/07 23:45:00,6.169,1.29767 
2016/03/08 00:00:00,6.142,1.30812 
2016/03/08 00:15:00,6.116,1.31376 
2016/03/08 00:30:00,6.097,1.30709 
2016/03/08 00:45:00,6.073,1.31594 
2016/03/08 01:00:00,6.054,1.31880 
2016/03/08 01:15:00,6.027,1.31907 
2016/03/08 01:30:00,5.997,1.30709 
2016/03/08 01:45:00,5.958,1.30255 
2016/03/08 02:00:00,5.918,1.31918 
2016/03/08 02:15:00,5.886,1.30304 
2016/03/08 02:30:00,5.859,1.31468 
2016/03/08 02:45:00,5.837,1.31289 
2016/03/08 03:00:00,5.818,1.32647 
2016/03/08 03:15:00,5.800,1.29732 
2016/03/08 03:30:00,5.787,1.29774 
2016/03/08 03:45:00,5.770,1.29267 
2016/03/08 04:00:00,5.762,1.30453 
2016/03/08 04:15:00,5.759,1.31037 
2016/03/08 04:30:00,5.757,1.31178 
2016/03/08 04:45:00,5.754,1.30705 
2016/03/08 05:00:00,5.752,1.30240 
2016/03/08 05:15:00,5.754,1.30381 
2016/03/08 05:30:00,5.755,1.31041 
2016/03/08 05:45:00,5.757,1.30205 
2016/03/08 06:00:00,5.760,1.31445 
2016/03/08 06:15:00,5.762,1.31327 
2016/03/08 06:30:00,5.762,1.30644 
2016/03/08 06:45:00,5.762,1.29988 
2016/03/08 07:00:00,5.762,1.30877 
2016/03/08 07:15:00,5.762,1.32082 
2016/03/08 07:30:00,5.762,1.30613 
2016/03/08 07:45:00,5.754,1.30724 
2016/03/08 08:00:00,5.759,1.31441 
2016/03/08 08:15:00,5.763,1.31086 
2016/03/08 08:30:00,5.776,1.31247 
2016/03/08 08:45:00,5.794,1.31292 
2016/03/08 09:00:00,5.813,1.31235 
2016/03/08 09:15:00,5.837,1.31655 
2016/03/08 09:30:00,5.874,1.30423 
2016/03/08 09:45:00,5.920,1.31285 
2016/03/08 10:00:00,5.973,1.31136 
2016/03/08 10:15:00,6.030,1.31403 
2016/03/08 10:30:00,6.091,1.31670 
2016/03/08 10:45:00,6.145,1.30129 
2016/03/08 11:00:00,6.218,1.31449 
2016/03/08 11:15:00,6.275,1.32231 
2016/03/08 11:30:00,6.384,1.30030 
2016/03/08 11:45:00,6.458,1.30991 
2016/03/08 12:00:00,6.596,1.31167 
2016/03/08 12:15:00,6.604,1.30915 
2016/03/08 12:30:00,6.626,1.30972 
2016/03/08 12:45:00,6.636,1.31647 
2016/03/08 13:00:00,6.679,1.31514 
2016/03/08 13:15:00,6.792,1.31586 
2016/03/08 13:30:00,6.875,1.30106 
2016/03/08 13:45:00,6.969,1.31071 
2016/03/08 14:00:00,7.020,1.30613 
2016/03/08 14:15:00,7.040,1.30976 
2016/03/08 14:30:00,7.070,1.32895 
2016/03/08 14:45:00,7.132,1.31247 
2016/03/08 15:00:00,7.203,1.31670 
2016/03/08 15:15:00,7.264,1.30034 
2016/03/08 15:30:00,7.296,1.31880 
2016/03/08 15:45:00,7.308,1.30041 
2016/03/08 16:00:00,7.310,1.30854 
2016/03/08 16:15:00,7.327,1.31445 
2016/03/08 16:30:00,7.352,1.31132 
2016/03/08 16:45:00,7.393,1.30335 
2016/03/08 17:00:00,7.415,1.31861 
2016/03/08 17:15:00,7.432,1.32197 
2016/03/08 17:30:00,7.454,1.30804 
2016/03/08 17:45:00,7.464,1.31533 
2016/03/08 18:00:00,7.456,1.30560 
2016/03/08 18:15:00,7.442,1.32025 
2016/03/08 18:30:00,7.426,1.31628 
2016/03/08 18:45:00,7.407,1.31373 
2016/03/08 19:00:00,7.390,1.31792 
2016/03/08 19:15:00,7.371,1.32441 
2016/03/08 19:30:00,7.363,1.30720 
2016/03/08 19:45:00,7.352,1.31926 
2016/03/08 20:00:00,7.330,1.30453 
2016/03/08 20:15:00,7.307,1.31296 
2016/03/08 20:30:00,7.288,1.32029 
2016/03/08 20:45:00,7.266,1.32010 
2016/03/08 21:00:00,7.252,1.31563 
2016/03/08 21:15:00,7.239,1.30758 
2016/03/08 21:30:00,7.228,1.31292 
2016/03/08 21:45:00,7.220,1.31296 
2016/03/08 22:00:00,7.206,1.31163 
2016/03/08 22:15:00,7.185,1.32750 
2016/03/08 22:30:00,7.157,1.33261 
2016/03/08 22:45:00,7.118,1.31037 
2016/03/08 23:00:00,7.078,1.31998 
2016/03/08 23:15:00,7.045,1.30354 
2016/03/08 23:30:00,7.007,1.30861 
2016/03/08 23:45:00,6.973,1.31113 
2016/03/09 00:00:00,6.930,1.31178 
2016/03/09 00:15:00,6.892,1.32017 
2016/03/09 00:30:00,6.854,1.32044 
2016/03/09 00:45:00,6.808,1.30529 
2016/03/09 01:00:00,6.762,1.31205 
2016/03/09 01:15:00,6.718,1.32265 
2016/03/09 01:30:00,6.672,1.32170 
2016/03/09 01:45:00,6.625,1.33566 
2016/03/09 02:00:00,6.588,1.29805 
2016/03/09 02:15:00,6.550,1.31750 
2016/03/09 02:30:00,6.512,1.30327 
2016/03/09 02:45:00,6.479,1.31609 
2016/03/09 03:00:00,6.444,1.31098 
2016/03/09 03:15:00,6.411,1.31590 
2016/03/09 03:30:00,6.385,1.31430 
2016/03/09 03:45:00,6.357,1.31395 
2016/03/09 04:00:00,6.328,1.31807 
2016/03/09 04:15:00,6.302,1.30652 
2016/03/09 04:30:00,6.280,1.29892 
2016/03/09 04:45:00,6.247,1.30976 
2016/03/09 05:00:00,6.217,1.30747 
2016/03/09 05:15:00,6.183,1.31304 
