"Date Heure, GMT+01:00",Température 1 (K),Température 2 (K),Température 3 (K),Température 4 (K)
17/05/25 13:00:00,286.96,286.816,286.623,286.56199999999995
17/05/25 13:15:00,286.96,286.816,286.623,286.586
17/05/25 13:30:00,286.96,286.816,286.623,286.53799999999995
17/05/25 13:45:00,286.96,286.816,286.623,286.53799999999995
17/05/25 14:00:00,286.96,286.816,286.623,286.53799999999995
17/05/25 14:15:00,286.984,286.816,286.623,286.56199999999995
17/05/25 14:30:00,286.984,286.816,286.623,286.56199999999995
17/05/25 14:45:00,286.984,286.816,286.623,286.56199999999995
17/05/25 15:00:00,287.008,286.816,286.623,286.56199999999995
17/05/25 15:15:00,287.008,286.816,286.623,286.56199999999995
17/05/25 15:30:00,287.032,286.816,286.623,286.586
17/05/25 15:45:00,287.056,286.816,286.623,286.586
17/05/25 16:00:00,287.056,286.84,286.623,286.586
17/05/25 16:15:00,287.08,286.84,286.623,286.61
17/05/25 16:30:00,287.104,286.84,286.623,286.61
17/05/25 16:45:00,287.128,286.84,286.623,286.61
17/05/25 17:00:00,287.152,286.864,286.623,286.61
17/05/25 17:15:00,287.152,286.864,286.623,286.61
17/05/25 17:30:00,287.2,286.864,286.623,286.61
17/05/25 17:45:00,287.224,286.888,286.623,286.634
17/05/25 18:00:00,287.248,286.888,286.623,286.658
17/05/25 18:15:00,287.272,286.912,286.623,286.634
17/05/25 18:30:00,287.32,286.912,286.623,286.658
17/05/25 18:45:00,287.344,286.936,286.647,286.658
17/05/25 19:00:00,287.368,286.936,286.647,286.634
17/05/25 19:15:00,287.392,286.96,286.647,286.227
17/05/25 19:30:00,287.44,286.96,286.672,286.299
17/05/25 19:45:00,287.464,286.984,286.672,286.347
17/05/25 20:00:00,287.511,287.008,286.672,286.44199999999995
17/05/25 20:15:00,287.535,287.008,286.672,286.347
17/05/25 20:30:00,287.559,287.032,286.672,286.347
17/05/25 20:45:00,287.583,287.056,286.696,286.347
17/05/25 21:00:00,287.607,287.056,286.696,286.371
17/05/25 21:15:00,287.631,287.08,286.72,286.395
17/05/25 21:30:00,287.655,287.104,286.72,286.418
17/05/25 21:45:00,287.679,287.128,286.72,286.418
17/05/25 22:00:00,287.703,287.152,286.744,286.418
17/05/25 22:15:00,287.727,287.152,286.744,286.418
17/05/25 22:30:00,287.751,287.176,286.744,286.44199999999995
17/05/25 22:45:00,287.751,287.176,286.768,286.44199999999995
17/05/25 23:00:00,287.775,287.2,286.768,286.46599999999995
17/05/25 23:15:00,287.775,287.224,286.792,286.46599999999995
17/05/25 23:30:00,287.799,287.224,286.792,286.48999999999995
17/05/25 23:45:00,287.799,287.248,286.816,286.44199999999995
17/05/26 00:00:00,287.823,287.248,286.816,286.48999999999995
17/05/26 00:15:00,287.823,287.272,286.816,286.46599999999995
17/05/26 00:30:00,287.823,287.296,286.84,286.48999999999995
17/05/26 00:45:00,287.823,287.296,286.84,286.51399999999995
17/05/26 01:00:00,287.823,287.296,286.864,286.51399999999995
17/05/26 01:15:00,287.823,287.32,286.864,286.51399999999995
17/05/26 01:30:00,287.799,287.32,286.864,286.53799999999995
17/05/26 01:45:00,287.799,287.32,286.888,286.56199999999995
17/05/26 02:00:00,287.799,287.344,286.888,286.51399999999995
17/05/26 02:15:00,287.799,287.344,286.888,286.53799999999995
17/05/26 02:30:00,287.775,287.344,286.912,286.51399999999995
17/05/26 02:45:00,287.775,287.344,286.912,286.56199999999995
17/05/26 03:00:00,287.775,287.344,286.912,286.46599999999995
17/05/26 03:15:00,287.751,287.344,286.936,286.46599999999995
17/05/26 03:30:00,287.751,287.344,286.936,286.46599999999995
17/05/26 03:45:00,287.727,287.344,286.936,286.46599999999995
17/05/26 04:00:00,287.703,287.344,286.936,286.48999999999995
17/05/26 04:15:00,287.703,287.344,286.936,286.56199999999995
17/05/26 04:30:00,287.679,287.344,286.96,286.51399999999995
