"Date Heure, GMT+01:00",Débit d'eau échangé (m/s) - pour les meilleurs paramètres,Débit d'eau échangé (m/s) - quantile 0.05,Débit d'eau échangé (m/s) - quantile 0.5,Débit d'eau échangé (m/s) - quantile 0.95
16/06/28 06:45:00,-3.026485062562756e-09,-9.691391689159445e-09,-4.576012013757236e-09,-3.031309425693962e-09
16/06/28 07:00:00,-1.3020324818313611e-09,-3.4790901271009034e-09,-1.822203166135239e-09,-1.2494699719312052e-09
16/06/28 07:15:00,-2.1197070765310855e-09,-6.2357519148292795e-09,-3.120188996064144e-09,-2.06168659921957e-09
16/06/28 07:30:00,-1.8851218364090983e-09,-5.219710885739914e-09,-2.680575983404765e-09,-1.8189172390492558e-09
16/06/28 07:45:00,-2.0392965094373494e-09,-5.737846642261957e-09,-2.9418461000574325e-09,-1.9715591381697095e-09
16/06/28 08:00:00,-1.9819075269822406e-09,-5.531741287256864e-09,-2.835254475641591e-09,-1.9139700935255632e-09
16/06/28 08:15:00,-1.948222028147484e-09,-5.533036251392787e-09,-2.835879087115245e-09,-1.8855363936864933e-09
16/06/28 08:30:00,-1.8633132814471765e-09,-5.383494539046296e-09,-2.725838221806498e-09,-1.807399452324887e-09
16/06/28 08:45:00,-1.7798957863135456e-09,-5.2677782136356655e-09,-2.6224840077304634e-09,-1.7320236356255236e-09
16/06/28 09:00:00,-1.7047668832148588e-09,-5.151980619899632e-09,-2.5278412696394525e-09,-1.6832988336545895e-09
16/06/28 09:15:00,-1.6578396433430953e-09,-5.085220688982872e-09,-2.469420445905257e-09,-1.6534460467454437e-09
16/06/28 09:30:00,-1.6184431572696667e-09,-5.0276862673115374e-09,-2.420284417326002e-09,-1.6159101834389844e-09
16/06/28 09:45:00,-1.5775050155042436e-09,-4.968694788942685e-09,-2.3691610895326676e-09,-1.5769318073566296e-09
16/06/28 10:00:00,-1.5374514994448418e-09,-4.910836626237369e-09,-2.319108016735072e-09,-1.5389152174805076e-09
16/06/28 10:15:00,-1.4974484985330605e-09,-4.8535451213638225e-09,-2.2691692969090127e-09,-1.5007973752645398e-09
16/06/28 10:30:00,-1.4630301414797486e-09,-4.80483031140011e-09,-2.2262227616920427e-09,-1.4680452409265854e-09
16/06/28 10:45:00,-1.4396298597674217e-09,-4.773271555791325e-09,-2.1971080510496677e-09,-1.445822461754176e-09
16/06/28 11:00:00,-1.421283424285491e-09,-4.74923789184345e-09,-2.1744501754739076e-09,-1.4295524763952017e-09
16/06/28 11:15:00,-1.4080165922081278e-09,-4.732972680443481e-09,-2.1579822373496427e-09,-1.4184364793834447e-09
16/06/28 11:30:00,-1.4084461374963553e-09,-4.737423342504599e-09,-2.1588231202684938e-09,-1.418964612476259e-09
16/06/28 11:45:00,-1.42608491682239e-09,-4.768092587426054e-09,-2.1812895933948084e-09,-1.4340540976931493e-09
16/06/28 12:00:00,-1.4644200296842769e-09,-4.830077671158506e-09,-2.229776141504658e-09,-1.4697411065967003e-09
16/06/28 12:15:00,-1.523097870048673e-09,-4.922731999812413e-09,-2.30378627286143e-09,-1.525703008375956e-09
16/06/28 12:30:00,-1.5892053228938607e-09,-5.025986737905441e-09,-2.3870809773285373e-09,-1.5887772208955653e-09
16/06/28 12:45:00,-1.6530636859357628e-09,-5.125195823296735e-09,-2.467433590780388e-09,-1.6495987908982102e-09
16/06/28 13:00:00,-1.7117920414477794e-09,-5.2161506225445464e-09,-2.5413673387930658e-09,-1.6980428174662165e-09
16/06/28 13:15:00,-1.7607914015727033e-09,-5.291649785021946e-09,-2.6029978172914525e-09,-1.728914011955851e-09
16/06/28 13:30:00,-1.798545312681199e-09,-5.349670040288856e-09,-2.6504909378388675e-09,-1.7527392870420044e-09
16/06/28 13:45:00,-1.8250793099028328e-09,-5.390534685290049e-09,-2.6839617195406618e-09,-1.774512758956348e-09
16/06/28 14:00:00,-1.8346567598470642e-09,-5.404777070339151e-09,-2.695959011589366e-09,-1.783219460982366e-09
16/06/28 14:15:00,-1.8275052582339413e-09,-5.3937716515406464e-09,-2.687094768916154e-09,-1.7767763926812563e-09
16/06/28 14:30:00,-1.8134044266204796e-09,-5.3723279158646164e-09,-2.669480636541266e-09,-1.7639649740885943e-09
16/06/28 14:45:00,-1.7986969691463628e-09,-5.3499125129974345e-09,-2.651140418308273e-09,-1.75412229186378e-09
16/06/28 15:00:00,-1.7897007209555227e-09,-5.3368034436118705e-09,-2.6401363317773985e-09,-1.7489032444473196e-09
16/06/28 15:15:00,-1.7903072357938754e-09,-5.338664621490352e-09,-2.641168173056485e-09,-1.749581701737668e-09
16/06/28 15:30:00,-1.7931880424981728e-09,-5.3438435898556236e-09,-2.6450652779175243e-09,-1.7516432748720945e-09
