"Date Heure, GMT+01:00",Température 1 (K),Température 2 (K),Température 3 (K),Température 4 (K)
2016-07-12 12:00:00,288.181,287.799,287.96599999999995,288.229
2016-07-12 12:15:00,288.41999999999996,287.58299999999997,287.823,288.06199999999995
2016-07-12 12:30:00,288.325,287.464,287.655,287.847
2016-07-12 12:45:00,288.277,287.368,287.53499999999997,287.679
2016-07-12 13:00:00,288.277,287.296,287.44,287.55899999999997
2016-07-12 13:15:00,288.277,287.248,287.368,287.464
2016-07-12 13:30:00,288.277,287.224,287.32,287.392
2016-07-12 13:45:00,288.301,287.2,287.272,287.32
2016-07-12 14:00:00,288.301,287.176,287.224,287.272
2016-07-12 14:15:00,288.349,287.152,287.2,287.248
2016-07-12 14:30:00,288.373,287.152,287.176,287.224
2016-07-12 14:45:00,288.41999999999996,287.152,287.152,287.224
2016-07-12 15:00:00,288.46799999999996,287.128,287.128,287.2
2016-07-12 15:15:00,288.46799999999996,287.128,287.104,287.176
2016-07-12 15:30:00,288.51599999999996,287.128,287.08,287.152
2016-07-12 15:45:00,288.635,287.248,287.056,287.152
2016-07-12 16:00:00,288.707,287.48699999999997,287.056,287.176
2016-07-12 16:15:00,288.731,287.48699999999997,287.032,287.392
2016-07-12 16:30:00,288.755,287.48699999999997,287.032,287.392
2016-07-12 16:45:00,288.755,287.48699999999997,287.008,287.392
2016-07-12 17:00:00,288.755,287.464,287.008,287.392
2016-07-12 17:15:00,288.755,287.464,286.984,287.344
2016-07-12 17:30:00,288.731,287.464,286.984,287.344
2016-07-12 17:45:00,288.755,287.464,286.984,287.344
2016-07-12 18:00:00,288.80199999999996,287.464,286.96,287.344
2016-07-12 18:15:00,288.82599999999996,287.464,286.96,287.32
2016-07-12 18:30:00,288.84999999999997,287.48699999999997,286.96,287.32
2016-07-12 18:45:00,288.84999999999997,287.48699999999997,286.936,287.32
2016-07-12 19:00:00,288.82599999999996,287.51099999999997,286.936,287.32
2016-07-12 19:15:00,288.80199999999996,287.51099999999997,286.936,287.296
2016-07-12 19:30:00,288.779,287.48699999999997,286.912,287.296
2016-07-12 19:45:00,288.779,287.48699999999997,286.912,287.296
2016-07-12 20:00:00,288.731,287.48699999999997,286.912,287.296
2016-07-12 20:15:00,288.707,287.48699999999997,286.912,287.296
2016-07-12 20:30:00,288.683,287.53499999999997,286.912,287.272
2016-07-12 20:45:00,288.659,287.55899999999997,286.912,287.272
2016-07-12 21:00:00,288.611,287.58299999999997,286.912,287.248
2016-07-12 21:15:00,288.58799999999997,287.55899999999997,286.888,287.2
2016-07-12 21:30:00,288.53999999999996,287.53499999999997,286.888,287.176
2016-07-12 21:45:00,288.53999999999996,287.53499999999997,286.888,287.176
2016-07-12 22:00:00,288.49199999999996,287.53499999999997,286.888,287.176
2016-07-12 22:15:00,288.49199999999996,287.51099999999997,286.888,287.176
2016-07-12 22:30:00,288.46799999999996,287.51099999999997,286.888,287.176
2016-07-12 22:45:00,288.41999999999996,287.51099999999997,286.888,287.176
2016-07-12 23:00:00,288.397,287.51099999999997,286.888,287.2
2016-07-12 23:15:00,288.373,287.48699999999997,286.888,287.2
2016-07-12 23:30:00,288.325,287.48699999999997,286.888,287.176
2016-07-12 23:45:00,288.277,287.464,286.888,287.152
2016-07-13 00:00:00,288.253,287.464,286.888,287.152
2016-07-13 00:15:00,288.205,287.44,286.888,287.152
2016-07-13 00:30:00,288.181,287.44,286.888,287.152
2016-07-13 00:45:00,288.15799999999996,287.416,286.888,287.152
2016-07-13 01:00:00,288.10999999999996,287.392,286.888,287.128
2016-07-13 01:15:00,288.08599999999996,287.392,286.864,287.128
2016-07-13 01:30:00,288.06199999999995,287.368,286.888,287.104
2016-07-13 01:45:00,288.03799999999995,287.368,286.864,287.104
2016-07-13 02:00:00,287.98999999999995,287.344,286.864,287.104
2016-07-13 02:15:00,287.96599999999995,287.32,286.864,287.104
2016-07-13 02:30:00,287.918,287.32,286.864,287.104
2016-07-13 02:45:00,287.895,287.296,286.864,287.08
2016-07-13 03:00:00,287.871,287.296,286.864,287.104
2016-07-13 03:15:00,287.847,287.296,286.864,287.08
2016-07-13 03:30:00,287.823,287.272,286.864,287.104
2016-07-13 03:45:00,287.799,287.296,286.864,287.08
2016-07-13 04:00:00,287.775,287.272,286.864,287.08
2016-07-13 04:15:00,287.751,287.248,286.864,287.104
2016-07-13 04:30:00,287.751,287.248,286.864,287.104
2016-07-13 04:45:00,287.727,287.224,286.864,287.104
2016-07-13 05:00:00,287.703,287.224,286.84,287.08
2016-07-13 05:15:00,287.679,287.2,286.84,287.104
2016-07-13 05:30:00,287.679,287.176,286.84,287.08
2016-07-13 05:45:00,287.655,287.176,286.84,287.08
2016-07-13 06:00:00,287.631,287.152,286.84,287.08
2016-07-13 06:15:00,287.60699999999997,287.152,286.84,287.08
2016-07-13 06:30:00,287.58299999999997,287.128,286.84,287.08
2016-07-13 06:45:00,287.58299999999997,287.128,286.816,287.08
2016-07-13 07:00:00,287.58299999999997,287.104,286.816,287.08
2016-07-13 07:15:00,287.55899999999997,287.08,286.816,287.08
2016-07-13 07:30:00,287.55899999999997,287.104,286.816,287.08
2016-07-13 07:45:00,287.55899999999997,287.08,286.816,287.08
2016-07-13 08:00:00,287.55899999999997,287.056,286.816,287.08
2016-07-13 08:15:00,287.53499999999997,287.056,286.816,287.08
2016-07-13 08:30:00,287.53499999999997,287.032,286.792,287.08
2016-07-13 08:45:00,287.55899999999997,287.032,286.792,287.08
2016-07-13 09:00:00,287.55899999999997,287.008,286.792,287.08
2016-07-13 09:15:00,287.55899999999997,286.984,286.792,287.08
2016-07-13 09:30:00,287.58299999999997,286.984,286.792,287.08
2016-07-13 09:45:00,287.60699999999997,286.96,286.768,287.08
2016-07-13 10:00:00,287.631,286.936,286.768,287.08
2016-07-13 10:15:00,287.655,286.912,286.768,287.08
2016-07-13 10:30:00,287.703,286.864,286.768,287.08
2016-07-13 10:45:00,287.751,286.84,286.768,287.08
2016-07-13 11:00:00,287.799,286.816,286.768,287.08
2016-07-13 11:15:00,287.847,286.792,286.768,287.08
2016-07-13 11:30:00,287.871,286.768,286.74399999999997,287.08
2016-07-13 11:45:00,287.895,286.74399999999997,286.74399999999997,287.056
2016-07-13 12:00:00,287.918,286.74399999999997,286.74399999999997,287.056
2016-07-13 12:15:00,287.94199999999995,286.74399999999997,286.74399999999997,287.056
2016-07-13 12:30:00,287.96599999999995,286.71999999999997,286.74399999999997,287.056
2016-07-13 12:45:00,287.96599999999995,286.71999999999997,286.74399999999997,287.056
2016-07-13 13:00:00,287.98999999999995,286.74399999999997,286.71999999999997,287.056
2016-07-13 13:15:00,288.01399999999995,286.74399999999997,286.71999999999997,287.056
2016-07-13 13:30:00,288.06199999999995,286.74399999999997,286.71999999999997,287.056
2016-07-13 13:45:00,288.08599999999996,286.74399999999997,286.71999999999997,287.056
2016-07-13 14:00:00,288.10999999999996,286.768,286.71999999999997,287.056
2016-07-13 14:15:00,288.10999999999996,286.792,286.71999999999997,287.056
2016-07-13 14:30:00,288.08599999999996,286.816,286.71999999999997,287.056
2016-07-13 14:45:00,288.08599999999996,286.84,286.69599999999997,287.032
2016-07-13 15:00:00,288.06199999999995,286.864,286.69599999999997,287.056
2016-07-13 15:15:00,288.06199999999995,286.888,286.69599999999997,287.056
2016-07-13 15:30:00,288.06199999999995,286.912,286.69599999999997,287.032
2016-07-13 15:45:00,288.03799999999995,286.936,286.69599999999997,287.032
2016-07-13 16:00:00,288.03799999999995,286.96,286.69599999999997,287.032
2016-07-13 16:15:00,288.03799999999995,286.96,286.69599999999997,287.032
2016-07-13 16:30:00,288.03799999999995,286.984,286.69599999999997,287.056
2016-07-13 16:45:00,288.03799999999995,286.984,286.69599999999997,287.032
2016-07-13 17:00:00,288.03799999999995,286.984,286.67199999999997,287.056
2016-07-13 17:15:00,288.03799999999995,286.984,286.67199999999997,287.032
2016-07-13 17:30:00,288.03799999999995,286.984,286.67199999999997,287.032
2016-07-13 17:45:00,288.03799999999995,286.984,286.67199999999997,287.032
2016-07-13 18:00:00,288.03799999999995,286.984,286.69599999999997,287.032
2016-07-13 18:15:00,288.03799999999995,286.984,286.67199999999997,287.032
2016-07-13 18:30:00,288.03799999999995,286.984,286.67199999999997,287.032
2016-07-13 18:45:00,288.03799999999995,286.984,286.67199999999997,287.032
2016-07-13 19:00:00,288.03799999999995,286.984,286.67199999999997,287.032
2016-07-13 19:15:00,288.03799999999995,286.984,286.67199999999997,287.032
2016-07-13 19:30:00,288.03799999999995,286.984,286.67199999999997,287.032
2016-07-13 19:45:00,288.01399999999995,286.984,286.67199999999997,287.032
2016-07-13 20:00:00,287.98999999999995,286.984,286.67199999999997,287.032
2016-07-13 20:15:00,287.98999999999995,286.984,286.67199999999997,287.032
2016-07-13 20:30:00,287.94199999999995,286.984,286.67199999999997,287.032
2016-07-13 20:45:00,287.918,286.984,286.67199999999997,287.032
2016-07-13 21:00:00,287.895,286.984,286.67199999999997,287.032
2016-07-13 21:15:00,287.871,286.96,286.67199999999997,287.032
2016-07-13 21:30:00,287.847,286.984,286.67199999999997,287.032
2016-07-13 21:45:00,287.799,286.96,286.67199999999997,287.032
2016-07-13 22:00:00,287.775,286.96,286.67199999999997,287.008
2016-07-13 22:15:00,287.727,286.96,286.67199999999997,287.008
2016-07-13 22:30:00,287.703,286.96,286.67199999999997,287.008
2016-07-13 22:45:00,287.679,286.96,286.67199999999997,287.008
2016-07-13 23:00:00,287.655,286.96,286.67199999999997,287.008
2016-07-13 23:15:00,287.60699999999997,286.936,286.67199999999997,287.008
