"Date Heure, GMT+01:00",Pression différentielle (m),Température (K)
2019-08-27 14:00:00,0.04891045507847895,298.304
2019-08-27 14:15:00,0.0505305597625976,298.272
2019-08-27 14:30:00,0.05202344008013717,298.221
2019-08-27 14:45:00,0.055462979360613125,298.097
2019-08-27 15:00:00,0.05893839158424484,297.97499999999997
2019-08-27 15:15:00,0.05910887079955837,297.85499999999996
2019-08-27 15:30:00,0.0604240076034448,297.69899999999996
2019-08-27 15:45:00,0.061615551506159036,297.56399999999996
2019-08-27 16:00:00,0.059991370910669715,297.448
2019-08-27 16:15:00,0.05890602908044132,297.364
2019-08-27 16:30:00,0.0564233956355407,297.298
2019-08-27 16:45:00,0.0560742846984092,297.24199999999996
2019-08-27 17:00:00,0.055831779937709235,297.197
2019-08-27 17:15:00,0.054497193494678665,297.142
2019-08-27 17:30:00,0.05412415427061283,297.077
2019-08-27 17:45:00,0.05327849325980598,297.02299999999997
2019-08-27 18:00:00,0.051571997169221194,296.967
2019-08-27 18:15:00,0.05212237511923125,296.907
2019-08-27 18:30:00,0.05088850423420256,296.84
2019-08-27 18:45:00,0.050174060766019705,296.762
2019-08-27 19:00:00,0.04800583728491392,296.692
2019-08-27 19:15:00,0.044454285313796076,296.623
2019-08-27 19:30:00,0.04462206024635981,296.55699999999996
2019-08-27 19:45:00,0.043639005945319484,296.488
2019-08-27 20:00:00,0.04289583485755522,296.419
2019-08-27 20:15:00,0.0434380213265686,296.33
2019-08-27 20:30:00,0.04285483847808031,296.251
2019-08-27 20:45:00,0.0442665335607985,296.179
2019-08-27 21:00:00,0.04422521444517765,296.11699999999996
2019-08-27 21:15:00,0.04605159060372862,296.066
2019-08-27 21:30:00,0.04538960338325944,296.018
2019-08-27 21:45:00,0.04629308613020898,295.971
2019-08-27 22:00:00,0.047317660573198694,295.92699999999996
2019-08-27 22:15:00,0.04622424897179148,295.883
2019-08-27 22:30:00,0.04994934751913686,295.84
2019-08-27 22:45:00,0.049130155658651864,295.794
2019-08-27 23:00:00,0.050069511348756715,295.74899999999997
2019-08-27 23:15:00,0.05041490945268204,295.719
2019-08-27 23:30:00,0.05209707315238695,295.681
2019-08-27 23:45:00,0.05072181306602771,295.642
2019-08-28 00:00:00,0.05132513136797057,295.59799999999996
2019-08-28 00:15:00,0.05206531714638351,295.56
2019-08-28 00:30:00,0.05041607937121161,295.51599999999996
2019-08-28 00:45:00,0.050787180810874605,295.49199999999996
2019-08-28 01:00:00,0.05102956454551979,295.46799999999996
2019-08-28 01:15:00,0.052537979275142935,295.42699999999996
2019-08-28 01:30:00,0.053042842539632686,295.378
2019-08-28 01:45:00,0.05326077490863229,295.33599999999996
2019-08-28 02:00:00,0.051619687588675585,295.298
2019-08-28 02:15:00,0.05327566384842339,295.268
2019-08-28 02:30:00,0.05659556579680611,295.24399999999997
2019-08-28 02:45:00,0.06027797428367283,295.227
2019-08-28 03:00:00,0.06273986646108204,295.21599999999995
2019-08-28 03:15:00,0.06022834266100067,295.212
2019-08-28 03:30:00,0.06163253344455892,295.212
2019-08-28 03:45:00,0.0606974553759159,295.22999999999996
2019-08-28 04:00:00,0.060926201457099156,295.262
2019-08-28 04:15:00,0.05974978923004866,295.322
2019-08-28 04:30:00,0.05903357071306232,295.392
2019-08-28 04:45:00,0.057739174492904374,295.47999999999996
2019-08-28 05:00:00,0.05739720546053154,295.58
2019-08-28 05:15:00,0.05734596084089186,295.65999999999997
2019-08-28 05:30:00,0.05314351775561631,295.77799999999996
2019-08-28 05:45:00,0.05299740922191183,295.87
2019-08-28 06:00:00,0.05305587711410978,295.847
2019-08-28 06:15:00,0.04942479393091941,295.97499999999997
2019-08-28 06:30:00,0.05163877551718137,296.027
2019-08-28 06:45:00,0.051955888396199704,296.114
2019-08-28 07:00:00,0.04959918974081966,296.346
2019-08-28 07:15:00,0.04758506388056035,296.53299999999996
2019-08-28 07:30:00,0.0479919568955792,296.60999999999996
2019-08-28 07:45:00,0.0412972769137672,296.698
2019-08-28 08:00:00,0.04061563971158889,296.904
2019-08-28 08:15:00,0.04158009292339472,296.955
2019-08-28 08:30:00,0.04000840891763748,297.037
2019-08-28 08:45:00,0.038597762727394076,297.12699999999995
2019-08-28 09:00:00,0.0382716918690321,297.299
2019-08-28 09:15:00,0.03552186024567621,297.467
2019-08-28 09:30:00,0.03562987770898365,297.558
2019-08-28 09:45:00,0.03397462828932747,297.567
2019-08-28 10:00:00,0.03328859312339532,297.731
2019-08-28 10:15:00,0.03225183197207523,297.789
2019-08-28 10:30:00,0.033392979121296185,297.92699999999996
2019-08-28 10:45:00,0.03008905671472392,298.06899999999996
2019-08-28 11:00:00,0.029645042205272594,298.147
2019-08-28 11:15:00,0.029303758987210205,298.203
2019-08-28 11:30:00,0.026712221238363174,298.265
2019-08-28 11:45:00,0.029192190742532566,298.263
2019-08-28 12:00:00,0.027746440158769894,298.20799999999997
2019-08-28 12:15:00,0.02605160633027809,298.12899999999996
2019-08-28 12:30:00,0.0251258089771248,298.072
2019-08-28 12:45:00,0.024906303269413014,298.087
2019-08-28 13:00:00,0.024441669886050916,298.157
2019-08-28 13:15:00,0.02496969357160204,298.11499999999995
2019-08-28 13:30:00,0.02419238493123063,298.018
2019-08-28 13:45:00,0.025847715034923176,297.90999999999997
2019-08-28 14:00:00,0.027373117856813307,297.837
2019-08-28 14:15:00,0.027313480046085636,297.77299999999997
2019-08-28 14:30:00,0.026681554466852928,297.75
2019-08-28 14:45:00,0.027034578579755896,297.717
2019-08-28 15:00:00,0.027488760645335616,297.635
