"Date Heure, GMT+01:00",Température 1 (K),Température 2 (K),Température 3 (K),Température 4 (K)
2019-08-27 14:00:00,307.75782259,307.68903288999996,307.63648350999995,307.22499999999997
2019-08-27 14:15:00,307.74623088,307.68435968,307.62810728,307.22499999999997
2019-08-27 14:30:00,307.73709678,307.68062879999997,307.5960472,307.22499999999997
2019-08-27 14:45:00,307.72732415999997,307.67730119,307.53967690999997,307.22499999999997
2019-08-27 15:00:00,307.71545046999995,307.67401829,307.46129907,307.22499999999997
2019-08-27 15:15:00,307.70074675,307.67044343,307.36498057,307.22499999999997
2019-08-27 15:30:00,307.68292189,307.66622555,307.25530395,307.22499999999997
2019-08-27 15:45:00,307.66194727,307.66100581999996,307.13656459,307.22499999999997
2019-08-27 16:00:00,307.63780047999995,307.65443689999995,307.01239412999996,307.22499999999997
2019-08-27 16:15:00,307.61058542,307.64620211,306.88566539,307.22499999999997
2019-08-27 16:30:00,307.58051314,307.63602965999996,306.75854489,307.22499999999997
2019-08-27 16:45:00,307.54802842,307.62370031,306.63260341,307.22499999999997
2019-08-27 17:00:00,307.51369784999997,307.60905304,306.50893733,307.22499999999997
2019-08-27 17:15:00,307.47798683999997,307.59198690999995,306.38827906,307.22499999999997
2019-08-27 17:30:00,307.44126953,307.57245644,306.27108777999996,307.22499999999997
2019-08-27 17:45:00,307.40380749999997,307.55046539,306.15762189,307.22499999999997
2019-08-27 18:00:00,307.36572386999995,307.52605839,306.04799595,307.22499999999997
2019-08-27 18:15:00,307.32718969999996,307.49931275999995,305.94222232,307.22499999999997
2019-08-27 18:30:00,307.28827355,307.47033075999997,305.84024209999995,289.342
2019-08-27 18:45:00,307.24896427,307.43923233,305.74194886,289.339
2019-08-27 19:00:00,307.20914053999996,307.40614803,305.64720581999995,289.335
2019-08-27 19:15:00,307.16858675,307.37121191,305.55585713,289.32899999999995
2019-08-27 19:30:00,307.12732249,307.3345569,305.46773612,289.323
2019-08-27 19:45:00,307.08543972999996,307.29631300999995,305.3826721,289.317
2019-08-27 20:00:00,307.04301115,307.25660697999996,305.30049431,289.30899999999997
2019-08-27 20:15:00,307.00011773,307.21556246,305.22103420999997,289.29999999999995
2019-08-27 20:30:00,306.95674879,307.17329978,305.14412772,289.291
2019-08-27 20:45:00,306.91294603999995,307.12993561999997,305.06961751,289.282
2019-08-27 21:00:00,306.86871239,307.08558222,304.99735419999996,289.272
2019-08-27 21:15:00,306.82413618,307.04034687,304.9271965,289.26099999999997
2019-08-27 21:30:00,306.77922343999995,306.99433079,304.8590107,289.24899999999997
2019-08-27 21:45:00,306.73402054999997,306.94762806,304.79267025999997,289.236
2019-08-27 22:00:00,306.68862491,306.90032530999997,304.72805535,289.222
2019-08-27 22:15:00,306.64302477999996,306.85250125,304.66505383,289.209
2019-08-27 22:30:00,306.59741328999996,306.80422784999996,304.60356113,289.19399999999996
2019-08-27 22:45:00,306.55182026,306.75557144,304.54347991,289.179
2019-08-27 23:00:00,306.5062324,306.70659307,304.48471881,289.162
2019-08-27 23:15:00,306.46063999999996,306.65734838,304.42719309999995,289.147
2019-08-27 23:30:00,306.41511632,306.60788794999996,304.3708251,289.131
2019-08-27 23:45:00,306.36959866999996,306.55825724,304.31554337999995,289.114
2019-08-28 00:00:00,306.32405552999995,306.50849623,304.26128137999996,289.096
2019-08-28 00:15:00,306.27851868,306.45863993999996,304.20797725,289.07899999999995
2019-08-28 00:30:00,306.23290633,306.40871856999996,304.15557369,289.061
2019-08-28 00:45:00,306.18721787,306.35875773,304.10401771,289.043
2019-08-28 01:00:00,306.14153555999997,306.30877938,304.05326157999997,289.027
2019-08-28 01:15:00,306.09600803,306.25880365,304.00326228999995,289.00899999999996
2019-08-28 01:30:00,306.05069552,306.20885052999995,303.95397901999996,288.989
2019-08-28 01:45:00,306.00555794999997,306.15894029,303.90537285,288.971
2019-08-28 02:00:00,305.96043115,306.10909211,303.85740761,288.953
2019-08-28 02:15:00,305.9153257,306.05932312,303.81004987,288.93399999999997
2019-08-28 02:30:00,305.87046312999996,306.00964968,303.76326908,288.916
2019-08-28 02:45:00,305.82611575,305.96009031999995,303.71703654,288.89599999999996
