Date/Heure,Pression différentielle (m),Temperature (K)
16/03/20 03:15:00,0.008386813638635,279.952
16/03/20 03:30:00,0.0086174627694299,279.946
16/03/20 03:45:00,0.0090425844554248,279.938
16/03/20 04:00:00,0.0092393075190585,279.927
16/03/20 04:15:00,0.0086056629112537,279.912
16/03/20 04:30:00,0.0091492714246696,279.898
16/03/20 04:45:00,0.0082248177061794,279.882
16/03/20 05:00:00,0.0080778175820545,279.871
16/03/20 05:15:00,0.0089787245226836,279.863
16/03/20 05:30:00,0.0090325311029861,279.852
16/03/20 05:45:00,0.0069285785674316,279.848
16/03/20 06:00:00,0.0106742447478203,279.838
16/03/20 06:15:00,0.0084689795127573,279.83
16/03/20 06:30:00,0.0086652563247763,279.824
16/03/20 06:45:00,0.0090143970955825,279.816
16/03/20 07:00:00,0.0086996093931917,279.808
16/03/20 07:15:00,0.0087185925905136,279.798
16/03/20 07:30:00,0.0090727095053427,279.791
16/03/20 07:45:00,0.0086014348927562,279.78099999999995
16/03/20 08:00:00,0.0095353609595469,279.77599999999995
16/03/20 08:15:00,0.0086077497916232,279.767
16/03/20 08:30:00,0.0090848882388718,279.76399999999995
16/03/20 08:45:00,0.0095697188405524,279.76399999999995
16/03/20 09:00:00,0.0084087521566051,279.767
16/03/20 09:15:00,0.007914866582698,279.759
16/03/20 09:30:00,0.0095891675398494,279.765
16/03/20 09:45:00,0.0099500889184713,279.775
16/03/20 10:00:00,0.0082554563839738,279.786
16/03/20 10:15:00,0.0087118073770814,279.797
16/03/20 10:30:00,0.0078570389252734,279.811
16/03/20 10:45:00,0.0092419032147143,279.82899999999995
16/03/20 11:00:00,0.0089280609540442,279.855
16/03/20 11:15:00,0.0105237082989091,279.895
16/03/20 11:30:00,0.0087843434066961,279.941
16/03/20 11:45:00,0.0088612842013759,279.987
16/03/20 12:00:00,0.0094103969244616,280.037
16/03/20 12:15:00,0.0101978701831347,280.1
16/03/20 12:30:00,0.0097031739200303,280.17
16/03/20 12:45:00,0.0082392627051797,280.235
16/03/20 13:00:00,0.0088711608072468,280.302
16/03/20 13:15:00,0.0094257055511504,280.356
16/03/20 13:30:00,0.0101312955592515,280.4
16/03/20 13:45:00,0.010288272034373,280.433
16/03/20 14:00:00,0.0084480455068564,280.474
16/03/20 14:15:00,0.0104204255404611,280.509
16/03/20 14:30:00,0.0101902611620018,280.542
16/03/20 14:45:00,0.0092495691321394,280.56199999999995
16/03/20 15:00:00,0.0098940825941701,280.589
16/03/20 15:15:00,0.0091655075619856,280.612
16/03/20 15:30:00,0.0114137682742067,280.645
16/03/20 15:45:00,0.0091452289231309,280.673
16/03/20 16:00:00,0.0096590142605398,280.681
16/03/20 16:15:00,0.0102003867032923,280.688
16/03/20 16:30:00,0.0100891505912786,280.706
16/03/20 16:45:00,0.010217604144516,280.714
16/03/20 17:00:00,0.0110081578511805,280.706
16/03/20 17:15:00,0.0099412483387442,280.697
16/03/20 17:30:00,0.0093673078340349,280.686
16/03/20 17:45:00,0.0105798209646707,280.673
16/03/20 18:00:00,0.0107014508037549,280.648
16/03/20 18:15:00,0.0102948275627463,280.619
