"Date Heure, GMT+01:00",Débit d'eau échangé (m/s) - pour les meilleurs paramètres,Débit d'eau échangé (m/s) - quantile 0.05,Débit d'eau échangé (m/s) - quantile 0.5,Débit d'eau échangé (m/s) - quantile 0.95
17/05/25 13:00:00,-7.226516274272399e-09,-1.9004360751750937e-08,-8.609323032260363e-09,-6.992714851605797e-09
17/05/25 13:15:00,-5.232119626441545e-09,-1.0598830257890768e-08,-5.756331411532756e-09,-5.070326825062921e-09
17/05/25 13:30:00,-7.088553299894329e-09,-1.6090185184225447e-08,-8.013839369880316e-09,-7.071821794824018e-09
17/05/25 13:45:00,-8.535276485588383e-09,-1.7399996110611937e-08,-9.397337130678807e-09,-8.263001838315631e-09
17/05/25 14:00:00,-8.634230219684014e-09,-1.8545470936714992e-08,-9.472127082688075e-09,-8.407371687724208e-09
17/05/25 14:15:00,-9.387514765535343e-09,-1.945066863129341e-08,-1.0346894896429149e-08,-9.073635176548578e-09
17/05/25 14:30:00,-1.1391474430411108e-08,-2.24458798214755e-08,-1.254344361711901e-08,-1.0916068937660839e-08
17/05/25 14:45:00,-1.1369328589694305e-08,-2.2802561616686035e-08,-1.2516488290259531e-08,-1.0892201807166657e-08
17/05/25 15:00:00,-1.034001773092541e-08,-2.2092777385296358e-08,-1.1420723033950253e-08,-9.96043070244923e-09
17/05/25 15:15:00,-1.1703238378402148e-08,-2.4321627378753874e-08,-1.2884802558232877e-08,-1.1215839812450668e-08
17/05/25 15:30:00,-1.2006745819803655e-08,-2.525088405036513e-08,-1.3215804450794622e-08,-1.1504366348447093e-08
17/05/25 15:45:00,-1.3895040673617132e-08,-2.8150179076646964e-08,-1.5245012363607202e-08,-1.3245392338490092e-08
17/05/25 16:00:00,-1.3713941982018696e-08,-2.852604374936618e-08,-1.506161950715068e-08,-1.3096991935412916e-08
17/05/25 16:15:00,-1.317386821853006e-08,-2.8446095257095294e-08,-1.449896380734117e-08,-1.2627181078528338e-08
17/05/25 16:30:00,-1.3951312993754073e-08,-3.0118787464061825e-08,-1.5348007309512468e-08,-1.3364727102782581e-08
17/05/25 16:45:00,-1.447517927744002e-08,-3.125078507082435e-08,-1.5927142271721095e-08,-1.3871982673663297e-08
17/05/25 17:00:00,-1.4323576102981406e-08,-3.094584144491819e-08,-1.5785889928565666e-08,-1.3765269812893166e-08
17/05/25 17:15:00,-1.4356594135733758e-08,-3.1037640013664713e-08,-1.5844745959725515e-08,-1.3830613987408924e-08
17/05/25 17:30:00,-1.4531954306562511e-08,-3.143258453519593e-08,-1.60570952090211e-08,-1.4027702555097221e-08
17/05/25 17:45:00,-1.517621761593091e-08,-3.282966787310215e-08,-1.6773480382425987e-08,-1.4655035407429295e-08
17/05/25 18:00:00,-1.436182905933947e-08,-3.111779278697213e-08,-1.5860855739902036e-08,-1.395090354350259e-08
17/05/25 18:15:00,-1.3319733760397412e-08,-2.9577517324241853e-08,-1.472382571421349e-08,-1.3041620228193551e-08
17/05/25 18:30:00,-1.2452998632284107e-08,-2.837351154028056e-08,-1.4083018307076145e-08,-1.2294209206231699e-08
17/05/25 18:45:00,-1.3278662613913639e-08,-3.008633342460598e-08,-1.494229096010713e-08,-1.3092748218923589e-08
17/05/25 19:00:00,-1.26551364942884e-08,-2.927254527662626e-08,-1.451670339491784e-08,-1.2564914442236841e-08
17/05/25 19:15:00,-1.2977670493796722e-08,-3.008898019629669e-08,-1.492347934117788e-08,-1.2903297097466293e-08
17/05/25 19:30:00,-1.1557875545520346e-08,-2.7869463181673382e-08,-1.3457270853223235e-08,-1.1530484123056794e-08
17/05/25 19:45:00,-1.2598158960486217e-08,-2.9895726783024656e-08,-1.4741381448857283e-08,-1.257993176295713e-08
17/05/25 20:00:00,-9.681862422894483e-09,-2.5046881901857887e-08,-1.1289370327460801e-08,-9.594987915306774e-09
17/05/25 20:15:00,-8.38467961727929e-09,-2.3010029437386947e-08,-1.0067536138080868e-08,-8.259488204487297e-09
17/05/25 20:30:00,-6.911531791331527e-09,-2.0630084307526886e-08,-8.66389004983148e-09,-6.962017184974911e-09
17/05/25 20:45:00,-5.9469495994335375e-09,-1.9109458904154053e-08,-7.758908182609048e-09,-5.848250772544361e-09
17/05/25 21:00:00,-5.143432790788438e-09,-1.7830270593321984e-08,-7.006475843951421e-09,-4.918706775214332e-09
