"Date Heure, GMT+01:00",Débit d'eau échangé (m/s)
16/06/28 06:45:00,-2.816357493884425e-07
16/06/28 07:00:00,-8.530390260830245e-08
16/06/28 07:15:00,-1.7127565854480054e-07
16/06/28 07:30:00,-1.3657090391916427e-07
16/06/28 07:45:00,-1.531401920829012e-07
16/06/28 08:00:00,-1.4734588660303416e-07
16/06/28 08:15:00,-1.5041941026083805e-07
16/06/28 08:30:00,-1.491119405727659e-07
16/06/28 08:45:00,-1.4921774038612057e-07
16/06/28 09:00:00,-1.484981595467616e-07
16/06/28 09:15:00,-1.4817365467933996e-07
16/06/28 09:30:00,-1.4770803602459637e-07
16/06/28 09:45:00,-1.4721184982136037e-07
16/06/28 10:00:00,-1.4665216951925686e-07
16/06/28 10:15:00,-1.4604781028992875e-07
16/06/28 10:30:00,-1.4543876147854462e-07
16/06/28 10:45:00,-1.4490024113911204e-07
16/06/28 11:00:00,-1.443805359713224e-07
16/06/28 11:15:00,-1.4392196590051753e-07
16/06/28 11:30:00,-1.435810048633357e-07
16/06/28 11:45:00,-1.4343989107601374e-07
16/06/28 12:00:00,-1.4354571931107785e-07
16/06/28 12:15:00,-1.4395018865798193e-07
16/06/28 12:30:00,-1.445521888854273e-07
16/06/28 12:45:00,-1.45274128726669e-07
16/06/28 13:00:00,-1.460713150436277e-07
16/06/28 13:15:00,-1.468826269501733e-07
16/06/28 13:30:00,-1.4766099809548905e-07
16/06/28 13:45:00,-1.4836882655799855e-07
16/06/28 14:00:00,-1.48947322031745e-07
16/06/28 14:15:00,-1.4934708758573834e-07
16/06/28 14:30:00,-1.4963397632072883e-07
16/06/28 14:45:00,-1.4984797758188506e-07
16/06/28 15:00:00,-1.500666684250973e-07
16/06/28 15:15:00,-1.5033005240638886e-07
16/06/28 15:30:00,-1.506075477664126e-07
16/06/28 15:45:00,-1.5086621374393872e-07
16/06/28 16:00:00,-1.5114135010207974e-07
16/06/28 16:15:00,-1.5144236442665715e-07
16/06/28 16:30:00,-1.5181626622506883e-07
16/06/28 16:45:00,-1.5229127825477917e-07
16/06/28 17:00:00,-1.5285566234979342e-07
16/06/28 17:15:00,-1.535329090529558e-07
16/06/28 17:30:00,-1.5445709777850425e-07
16/06/28 17:45:00,-1.5574106271287746e-07
16/06/28 18:00:00,-1.574342007870655e-07
16/06/28 18:15:00,-1.59560030965622e-07
16/06/28 18:30:00,-1.619868754687559e-07
16/06/28 18:45:00,-1.6454070816962485e-07
16/06/28 19:00:00,-1.6717683593014954e-07
16/06/28 19:15:00,-1.6975887717762816e-07
16/06/28 19:30:00,-1.7204932589720556e-07
16/06/28 19:45:00,-1.7390239293035847e-07
16/06/28 20:00:00,-1.751299123498029e-07
16/06/28 20:15:00,-1.756543213105033e-07
16/06/28 20:30:00,-1.7565196230862057e-07
16/06/28 20:45:00,-1.7531569085349474e-07
16/06/28 21:00:00,-1.747489619674525e-07
16/06/28 21:15:00,-1.7412578756648145e-07
16/06/28 21:30:00,-1.736672174956766e-07
16/06/28 21:45:00,-1.7352142833715334e-07
16/06/28 22:00:00,-1.7390472351053177e-07
16/06/28 22:15:00,-1.7492297388344014e-07
16/06/28 22:30:00,-1.7636921256780624e-07
16/06/28 22:45:00,-1.7802942409161915e-07
16/06/28 23:00:00,-1.7982132760607783e-07
16/06/28 23:15:00,-1.815168388930033e-07
16/06/28 23:30:00,-1.829512967788105e-07
16/06/28 23:45:00,-1.8403302703973168e-07
16/06/29 00:00:00,-1.845174608661182e-07
16/06/29 00:15:00,-1.8435520132698002e-07
16/06/29 00:30:00,-1.837343859278917e-07
16/06/29 00:45:00,-1.8283371616689692e-07
16/06/29 01:00:00,-1.81822528588782e-07
16/06/29 01:15:00,-1.808678007364506e-07
16/06/29 01:30:00,-1.8009411917319085e-07
16/06/29 01:45:00,-1.7957913200916664e-07
16/06/29 02:00:00,-1.795132789084164e-07
16/06/29 02:15:00,-1.7996948997733853e-07
16/06/29 02:30:00,-1.808090104304938e-07
16/06/29 02:45:00,-1.8193540540778486e-07
16/06/29 03:00:00,-1.8321702555113006e-07
16/06/29 03:15:00,-1.845174608661182e-07
16/06/29 03:30:00,-1.8585080852062674e-07
16/06/29 03:45:00,-1.8721942751653842e-07
16/06/29 04:00:00,-1.8852692562632e-07
16/06/29 04:15:00,-1.8970976611853985e-07
16/06/29 04:30:00,-1.9080090396528249e-07
16/06/29 04:45:00,-1.9176505361429008e-07
16/06/29 05:00:00,-1.9268922812898381e-07
16/06/29 05:15:00,-1.935616751325142e-07
16/06/29 05:30:00,-1.9425773700731952e-07
16/06/29 05:45:00,-1.9466928335987177e-07
16/06/29 06:00:00,-1.9475862700346624e-07
16/06/29 06:15:00,-1.9451641719570034e-07
16/06/29 06:30:00,-1.9404609474804602e-07
16/06/29 06:45:00,-1.9347231727806502e-07
16/06/29 07:00:00,-1.9283973529127252e-07
16/06/29 07:15:00,-1.9221187130824546e-07
16/06/29 07:30:00,-1.9185441146873927e-07
16/06/29 07:45:00,-1.9191085698366805e-07
16/06/29 08:00:00,-1.9255519134731003e-07
16/06/29 08:15:00,-1.9386503424811963e-07
16/06/29 08:30:00,-1.95609899833471e-07
16/06/29 08:45:00,-1.975828922695655e-07
16/06/29 09:00:00,-1.9969226627836179e-07
16/06/29 09:15:00,-2.0171934522750234e-07
16/06/29 09:30:00,-2.0342189088751184e-07
16/06/29 09:45:00,-2.045929790028822e-07
16/06/29 10:00:00,-2.0502567110725067e-07
16/06/29 10:15:00,-2.045647562454178e-07
16/06/29 10:30:00,-2.0351593832401704e-07
16/06/29 10:45:00,-2.021049994027635e-07
16/06/29 11:00:00,-2.0051531635090214e-07
16/06/29 11:15:00,-1.9899150061064574e-07
16/06/29 11:30:00,-1.9773104042997147e-07
16/06/29 11:45:00,-1.9694091690780624e-07
16/06/29 12:00:00,-1.9683508867274213e-07
16/06/29 12:15:00,-1.9756171809603984e-07
16/06/29 12:30:00,-1.9888803137746436e-07
16/06/29 12:45:00,-2.005858590337084e-07
16/06/29 13:00:00,-2.024812602030579e-07
16/06/29 13:15:00,-2.0434841019323358e-07
16/06/29 13:30:00,-2.060838966144729e-07
16/06/29 13:45:00,-2.0758419339017564e-07
16/06/29 14:00:00,-2.0867062744400755e-07
16/06/29 14:15:00,-2.0922560395320033e-07
16/06/29 14:30:00,-2.0938081490839977e-07
16/06/29 14:45:00,-2.0923032195696578e-07
16/06/29 15:00:00,-2.089010990857787e-07
16/06/29 15:15:00,-2.0851543069966283e-07
16/06/29 15:30:00,-2.080874423882051e-07
16/06/29 15:45:00,-2.0756539242938743e-07
16/06/29 16:00:00,-2.0705743963844725e-07
16/06/29 16:15:00,-2.065965389874691e-07
16/06/29 16:30:00,-2.062202781871747e-07
16/06/29 16:45:00,-2.059663017917046e-07
16/06/29 17:00:00,-2.0581580884027062e-07
16/06/29 17:15:00,-2.0577347470407403e-07
16/06/29 17:30:00,-2.0597101979547006e-07
16/06/29 17:45:00,-2.0645543941100186e-07
16/06/29 18:00:00,-2.0729261507312913e-07
16/06/29 18:15:00,-2.0850602311384137e-07
16/06/29 18:30:00,-2.0999694072543207e-07
16/06/29 18:45:00,-2.1165715224924497e-07
16/06/29 19:00:00,-2.1342084721709398e-07
16/06/29 19:15:00,-2.1521275073155266e-07
16/06/29 19:30:00,-2.169059030165954e-07
16/06/29 19:45:00,-2.1840621400315285e-07
16/06/29 20:00:00,-2.1962434004763054e-07
16/06/29 20:15:00,-2.204615157097578e-07
16/06/29 20:30:00,-2.2099767704730766e-07
16/06/29 20:45:00,-2.212798477785327e-07
16/06/29 21:00:00,-2.2134570087928296e-07
16/06/29 21:15:00,-2.2125163923192304e-07
16/06/29 21:30:00,-2.21049404558471e-07
16/06/29 21:45:00,-2.207484044447483e-07
16/06/29 22:00:00,-2.2045210812393634e-07
16/06/29 22:15:00,-2.201463900064482e-07
16/06/29 22:30:00,-2.1985009368563624e-07
16/06/29 22:45:00,-2.1950205564280623e-07
16/06/29 23:00:00,-2.1910227587795816e-07
16/06/29 23:15:00,-2.1861785626242636e-07
16/06/29 23:30:00,-2.180346712066239e-07
16/06/29 23:45:00,-2.1735270649969607e-07
16/06/30 00:00:00,-2.1654845738794393e-07
16/06/30 00:15:00,-2.156548504217426e-07
16/06/30 00:30:00,-2.14690700772735e-07
16/06/30 00:45:00,-2.1373595870954887e-07
16/06/30 01:00:00,-2.1283294415752607e-07
16/06/30 01:15:00,-2.1204752442827157e-07
16/06/30 01:30:00,-2.1139848627171887e-07
16/06/30 01:45:00,-2.1095638658152893e-07
16/06/30 02:00:00,-2.1074944811516616e-07
16/06/30 02:15:00,-2.1080587941924023e-07
