"Date Heure, GMT+01:00",Flux advectif (W/m2) pour la profondeur 0.0020 m,Flux advectif (W/m2) pour la profondeur 0.0060 m,Flux advectif (W/m2) pour la profondeur 0.0100 m,Flux advectif (W/m2) pour la profondeur 0.0140 m,Flux advectif (W/m2) pour la profondeur 0.0180 m,Flux advectif (W/m2) pour la profondeur 0.0220 m,Flux advectif (W/m2) pour la profondeur 0.0260 m,Flux advectif (W/m2) pour la profondeur 0.0300 m,Flux advectif (W/m2) pour la profondeur 0.0340 m,Flux advectif (W/m2) pour la profondeur 0.0380 m,Flux advectif (W/m2) pour la profondeur 0.0420 m,Flux advectif (W/m2) pour la profondeur 0.0460 m,Flux advectif (W/m2) pour la profondeur 0.0500 m,Flux advectif (W/m2) pour la profondeur 0.0540 m,Flux advectif (W/m2) pour la profondeur 0.0580 m,Flux advectif (W/m2) pour la profondeur 0.0620 m,Flux advectif (W/m2) pour la profondeur 0.0660 m,Flux advectif (W/m2) pour la profondeur 0.0700 m,Flux advectif (W/m2) pour la profondeur 0.0740 m,Flux advectif (W/m2) pour la profondeur 0.0780 m,Flux advectif (W/m2) pour la profondeur 0.0820 m,Flux advectif (W/m2) pour la profondeur 0.0860 m,Flux advectif (W/m2) pour la profondeur 0.0900 m,Flux advectif (W/m2) pour la profondeur 0.0940 m,Flux advectif (W/m2) pour la profondeur 0.0980 m,Flux advectif (W/m2) pour la profondeur 0.1020 m,Flux advectif (W/m2) pour la profondeur 0.1060 m,Flux advectif (W/m2) pour la profondeur 0.1100 m,Flux advectif (W/m2) pour la profondeur 0.1140 m,Flux advectif (W/m2) pour la profondeur 0.1180 m,Flux advectif (W/m2) pour la profondeur 0.1220 m,Flux advectif (W/m2) pour la profondeur 0.1260 m,Flux advectif (W/m2) pour la profondeur 0.1300 m,Flux advectif (W/m2) pour la profondeur 0.1340 m,Flux advectif (W/m2) pour la profondeur 0.1380 m,Flux advectif (W/m2) pour la profondeur 0.1420 m,Flux advectif (W/m2) pour la profondeur 0.1460 m,Flux advectif (W/m2) pour la profondeur 0.1500 m,Flux advectif (W/m2) pour la profondeur 0.1540 m,Flux advectif (W/m2) pour la profondeur 0.1580 m,Flux advectif (W/m2) pour la profondeur 0.1620 m,Flux advectif (W/m2) pour la profondeur 0.1660 m,Flux advectif (W/m2) pour la profondeur 0.1700 m,Flux advectif (W/m2) pour la profondeur 0.1740 m,Flux advectif (W/m2) pour la profondeur 0.1780 m,Flux advectif (W/m2) pour la profondeur 0.1820 m,Flux advectif (W/m2) pour la profondeur 0.1860 m,Flux advectif (W/m2) pour la profondeur 0.1900 m,Flux advectif (W/m2) pour la profondeur 0.1940 m,Flux advectif (W/m2) pour la profondeur 0.1980 m,Flux advectif (W/m2) pour la profondeur 0.2020 m,Flux advectif (W/m2) pour la profondeur 0.2060 m,Flux advectif (W/m2) pour la profondeur 0.2100 m,Flux advectif (W/m2) pour la profondeur 0.2140 m,Flux advectif (W/m2) pour la profondeur 0.2180 m,Flux advectif (W/m2) pour la profondeur 0.2220 m,Flux advectif (W/m2) pour la profondeur 0.2260 m,Flux advectif (W/m2) pour la profondeur 0.2300 m,Flux advectif (W/m2) pour la profondeur 0.2340 m,Flux advectif (W/m2) pour la profondeur 0.2380 m,Flux advectif (W/m2) pour la profondeur 0.2420 m,Flux advectif (W/m2) pour la profondeur 0.2460 m,Flux advectif (W/m2) pour la profondeur 0.2500 m,Flux advectif (W/m2) pour la profondeur 0.2540 m,Flux advectif (W/m2) pour la profondeur 0.2580 m,Flux advectif (W/m2) pour la profondeur 0.2620 m,Flux advectif (W/m2) pour la profondeur 0.2660 m,Flux advectif (W/m2) pour la profondeur 0.2700 m,Flux advectif (W/m2) pour la profondeur 0.2740 m,Flux advectif (W/m2) pour la profondeur 0.2780 m,Flux advectif (W/m2) pour la profondeur 0.2820 m,Flux advectif (W/m2) pour la profondeur 0.2860 m,Flux advectif (W/m2) pour la profondeur 0.2900 m,Flux advectif (W/m2) pour la profondeur 0.2940 m,Flux advectif (W/m2) pour la profondeur 0.2980 m,Flux advectif (W/m2) pour la profondeur 0.3020 m,Flux advectif (W/m2) pour la profondeur 0.3060 m,Flux advectif (W/m2) pour la profondeur 0.3100 m,Flux advectif (W/m2) pour la profondeur 0.3140 m,Flux advectif (W/m2) pour la profondeur 0.3180 m,Flux advectif (W/m2) pour la profondeur 0.3220 m,Flux advectif (W/m2) pour la profondeur 0.3260 m,Flux advectif (W/m2) pour la profondeur 0.3300 m,Flux advectif (W/m2) pour la profondeur 0.3340 m,Flux advectif (W/m2) pour la profondeur 0.3380 m,Flux advectif (W/m2) pour la profondeur 0.3420 m,Flux advectif (W/m2) pour la profondeur 0.3460 m,Flux advectif (W/m2) pour la profondeur 0.3500 m,Flux advectif (W/m2) pour la profondeur 0.3540 m,Flux advectif (W/m2) pour la profondeur 0.3580 m,Flux advectif (W/m2) pour la profondeur 0.3620 m,Flux advectif (W/m2) pour la profondeur 0.3660 m,Flux advectif (W/m2) pour la profondeur 0.3700 m,Flux advectif (W/m2) pour la profondeur 0.3740 m,Flux advectif (W/m2) pour la profondeur 0.3780 m,Flux advectif (W/m2) pour la profondeur 0.3820 m,Flux advectif (W/m2) pour la profondeur 0.3860 m,Flux advectif (W/m2) pour la profondeur 0.3900 m,Flux advectif (W/m2) pour la profondeur 0.3940 m,Flux advectif (W/m2) pour la profondeur 0.3980 m
16/06/28 06:45:00,-8.180206,-8.186677,-8.1925745,-8.197871,-8.202608,-8.206927,-8.210765,-8.214156,-8.217206,-8.219948,-8.222347,-8.224435,-8.226344,-8.228001,-8.229432,-8.230769,-8.231933,-8.232945,-8.233901,-8.234819,-8.235651,-8.236416,-8.237234,-8.238017,-8.238781,-8.239609,-8.24051,-8.241429,-8.242374,-8.243442,-8.244583,-8.245773,-8.247066,-8.248465,-8.249921,-8.251485,-8.25314,-8.254884,-8.256711,-8.258619,-8.260619,-8.262651,-8.26476,-8.266916,-8.26911,-8.271345,-8.273558,-8.275783,-8.2779875,-8.280154,-8.282264,-8.284295,-8.286245,-8.28804,-8.289705,-8.291199,-8.292495,-8.293581,-8.294379,-8.294907,-8.295116,-8.294975,-8.294448,-8.293499,-8.2921,-8.290188,-8.287754,-8.284735,-8.281088,-8.276786,-8.271774,-8.266008,-8.259448,-8.252028,-8.243701,-8.234428,-8.224151,-8.212814,-8.200372,-8.18675,-8.171893,-8.155756,-8.13827,-8.119378,-8.09901,-8.077102,-8.053597,-8.02842,-8.001501,-7.9727817,-7.9421806,-7.9096284,-7.8750534,-7.8383813,-7.7995358,-7.758436,-7.715007,-7.66917,-7.6208405,-7.569938
16/06/28 07:00:00,-8.452837,-8.4539585,-8.453598,-8.453482,-8.453566,-8.453676,-8.453816,-8.454028,-8.454192,-8.454325,-8.454484,-8.454659,-8.454847,-8.454942,-8.455008,-8.455048,-8.455026,-8.455016,-8.454917,-8.454732,-8.45457,-8.454399,-8.454191,-8.45395,-8.453715,-8.4535265,-8.453319,-8.453094,-8.452855,-8.452604,-8.452362,-8.452161,-8.451985,-8.451785,-8.451607,-8.451399,-8.451157,-8.450926,-8.450687,-8.450432,-8.450136,-8.449808,-8.449438,-8.449016,-8.448494,-8.447913,-8.447258,-8.446446,-8.445513,-8.444426,-8.44318,-8.441761,-8.440146,-8.438315,-8.4362135,-8.433848,-8.4312,-8.428227,-8.424936,-8.421268,-8.417179,-8.412642,-8.407662,-8.402229,-8.396279,-8.389802,-8.3827505,-8.375088,-8.366808,-8.357876,-8.348245,-8.337905,-8.326828,-8.314996,-8.302392,-8.28896,-8.274686,-8.259567,-8.243572,-8.226701,-8.208928,-8.190257,-8.170685,-8.150206,-8.128842,-8.106613,-8.083535,-8.059642,-8.03498,-8.009595,-7.9835553,-7.9569435,-7.9298487,-7.9023867,-7.87469,-7.846913,-7.81923,-7.791842,-7.764984,-7.738301
16/06/28 07:15:00,-8.440614,-8.443361,-8.445965,-8.448335,-8.450623,-8.452978,-8.455198,-8.457323,-8.459523,-8.461697,-8.463774,-8.465717,-8.467695,-8.469636,-8.471431,-8.473182,-8.47485,-8.476431,-8.477954,-8.479453,-8.480853,-8.48215,-8.483411,-8.484597,-8.485636,-8.486558,-8.487429,-8.488211,-8.488866,-8.489456,-8.489944,-8.490256,-8.490438,-8.490502,-8.490442,-8.490235,-8.489907,-8.489436,-8.48876,-8.487924,-8.486918,-8.485732,-8.484373,-8.482798,-8.481011,-8.478968,-8.476656,-8.474129,-8.471359,-8.468314,-8.464965,-8.461293,-8.457304,-8.452948,-8.448259,-8.44321,-8.437744,-8.431917,-8.425679,-8.418998,-8.411873,-8.404273,-8.396216,-8.387674,-8.378614,-8.369022,-8.358922,-8.348283,-8.337054,-8.325277,-8.312928,-8.299991,-8.286495,-8.272406,-8.25773,-8.242486,-8.226643,-8.210233,-8.1932535,-8.17571,-8.157639,-8.1390295,-8.119903,-8.100293,-8.080222,-8.059703,-8.038763,-8.017427,-7.9957314,-7.973705,-7.9513626,-7.9287424,-7.9058642,-7.8827424,-7.8593936,-7.8358164,-7.812005,-7.7879386,-7.763573,-7.739381
16/06/28 07:30:00,-8.567798,-8.568866,-8.568953,-8.569206,-8.569446,-8.56966,-8.569947,-8.570201,-8.57038,-8.570584,-8.57081,-8.571054,-8.571246,-8.5713825,-8.57156,-8.571676,-8.571759,-8.571807,-8.571782,-8.571713,-8.5716305,-8.571496,-8.571235,-8.57098,-8.570659,-8.570196,-8.569656,-8.569065,-8.56835,-8.567536,-8.566589,-8.565534,-8.564415,-8.563122,-8.561697,-8.560137,-8.558378,-8.55645,-8.5543785,-8.552103,-8.549665,-8.547076,-8.544222,-8.54113,-8.537841,-8.53433,-8.53057,-8.526532,-8.5222435,-8.517714,-8.512912,-8.50778,-8.502377,-8.496693,-8.490632,-8.484274,-8.477606,-8.470554,-8.463162,-8.455421,-8.447309,-8.438833,-8.4299555,-8.420687,-8.411041,-8.401005,-8.390558,-8.379706,-8.368474,-8.356827,-8.344796,-8.332387,-8.319557,-8.306345,-8.292752,-8.27876,-8.264392,-8.24967,-8.234588,-8.2191515,-8.203381,-8.187276,-8.170847,-8.154111,-8.137076,-8.119771,-8.102202,-8.084384,-8.066326,-8.048043,-8.029565,-8.010901,-7.992081,-7.973128,-7.954064,-7.93493,-7.915758,-7.896597,-7.877505,-7.858211
16/06/28 07:45:00,-8.611046,-8.612354,-8.613236,-8.613966,-8.614743,-8.615567,-8.616297,-8.6169615,-8.617659,-8.618282,-8.618827,-8.619422,-8.619997,-8.620477,-8.620823,-8.621098,-8.621297,-8.621449,-8.621513,-8.62145,-8.62129,-8.62106,-8.620757,-8.620305,-8.619733,-8.61907,-8.618277,-8.617312,-8.61624,-8.615017,-8.613639,-8.612099,-8.610408,-8.60854,-8.60646,-8.60424,-8.601846,-8.599231,-8.596391,-8.593353,-8.590113,-8.586643,-8.582954,-8.579059,-8.57488,-8.570444,-8.565782,-8.560852,-8.555648,-8.550163,-8.544425,-8.538411,-8.532066,-8.525402,-8.518497,-8.511297,-8.503729,-8.495856,-8.487727,-8.479253,-8.470415,-8.461278,-8.451805,-8.441998,-8.431869,-8.421403,-8.410606,-8.399483,-8.388022,-8.376222,-8.364098,-8.351645,-8.338878,-8.325814,-8.312453,-8.298775,-8.284793,-8.2705145,-8.255956,-8.241134,-8.226024,-8.210652,-8.195045,-8.179207,-8.16314,-8.146851,-8.130355,-8.113674,-8.096829,-8.079825,-8.062673,-8.045387,-8.027985,-8.010482,-7.9928956,-7.975236,-7.957513,-7.9397316,-7.9218955,-7.904194
16/06/28 08:00:00,-8.668156,-8.668653,-8.668598,-8.668497,-8.668376,-8.668229,-8.66812,-8.667944,-8.6677265,-8.667531,-8.667285,-8.667017,-8.666724,-8.66633,-8.665899,-8.665459,-8.664868,-8.664189,-8.663452,-8.662617,-8.661745,-8.660765,-8.659669,-8.658488,-8.657214,-8.655774,-8.654196,-8.652509,-8.650672,-8.648716,-8.646601,-8.644319,-8.6419,-8.63932,-8.636559,-8.6335745,-8.630431,-8.627089,-8.623543,-8.619822,-8.615903,-8.611798,-8.607451,-8.602876,-8.5981,-8.59312,-8.58786,-8.582352,-8.576628,-8.570664,-8.564458,-8.557989,-8.551271,-8.544284,-8.537008,-8.529473,-8.521713,-8.513676,-8.505342,-8.496743,-8.487898,-8.478788,-8.469415,-8.459741,-8.449789,-8.43959,-8.429131,-8.418406,-8.407414,-8.396162,-8.384659,-8.37291,-8.360902,-8.348646,-8.336159,-8.323443,-8.310491,-8.297333,-8.283966,-8.270375,-8.256599,-8.242647,-8.228506,-8.214193,-8.199716,-8.185087,-8.170333,-8.155439,-8.140421,-8.125292,-8.110061,-8.094747,-8.079355,-8.063897,-8.048384,-8.032831,-8.017256,-8.00167,-7.9860954,-7.9704485
16/06/28 08:15:00,-8.681042,-8.680844,-8.680495,-8.680122,-8.679824,-8.679555,-8.679173,-8.678806,-8.678483,-8.678028,-8.677568,-8.677096,-8.676572,-8.676058,-8.675412,-8.674627,-8.673765,-8.672854,-8.671889,-8.670833,-8.669641,-8.668343,-8.667002,-8.66551,-8.663862,-8.662121,-8.660279,-8.658267,-8.656078,-8.653773,-8.651315,-8.648698,-8.645951,-8.643001,-8.63986,-8.636593,-8.633094,-8.629424,-8.625597,-8.621542,-8.617287,-8.612829,-8.608181,-8.60334,-8.598301,-8.593045,-8.587569,-8.581871,-8.5759115,-8.56974,-8.5633545,-8.556721,-8.54987,-8.542764,-8.535471,-8.52794,-8.520119,-8.512091,-8.503858,-8.495367,-8.486637,-8.477685,-8.468444,-8.459,-8.449336,-8.439422,-8.429294,-8.418937,-8.408346,-8.397525,-8.386483,-8.375253,-8.363824,-8.352181,-8.340338,-8.328297,-8.316072,-8.303654,-8.291056,-8.278309,-8.265386,-8.252295,-8.239062,-8.22569,-8.212178,-8.198541,-8.184786,-8.170915,-8.156941,-8.142872,-8.1287155,-8.11448,-8.100175,-8.085816,-8.07141,-8.056966,-8.042491,-8.027993,-8.013483,-7.9990153
16/06/28 08:30:00,-8.680768,-8.679791,-8.678833,-8.677852,-8.676912,-8.676007,-8.675063,-8.674039,-8.673028,-8.672062,-8.67103,-8.669961,-8.6688175,-8.667589,-8.666373,-8.665132,-8.663788,-8.662303,-8.660773,-8.659159,-8.657419,-8.655653,-8.653783,-8.651842,-8.6497555,-8.647552,-8.645191,-8.642706,-8.640123,-8.637404,-8.634545,-8.631541,-8.628388,-8.625083,-8.621602,-8.617943,-8.61415,-8.610174,-8.606026,-8.601719,-8.597231,-8.592561,-8.587706,-8.5826435,-8.57741,-8.57198,-8.566322,-8.560482,-8.554477,-8.548304,-8.541893,-8.535261,-8.528458,-8.521448,-8.514198,-8.506742,-8.499093,-8.491238,-8.483159,-8.4748745,-8.466418,-8.45774,-8.448842,-8.43976,-8.430479,-8.420999,-8.411324,-8.401448,-8.391385,-8.381142,-8.370725,-8.360104,-8.349322,-8.338379,-8.327259,-8.315986,-8.304544,-8.292969,-8.281245,-8.269373,-8.257373,-8.245242,-8.23299,-8.220628,-8.20815,-8.195565,-8.182885,-8.170112,-8.157258,-8.144334,-8.131346,-8.118298,-8.1052,-8.0920515,-8.078865,-8.065651,-8.052417,-8.039171,-8.025921,-8.01265
16/06/28 08:45:00,-8.660076,-8.65841,-8.656907,-8.655426,-8.653992,-8.652529,-8.650998,-8.649531,-8.648087,-8.6465225,-8.644935,-8.6433525,-8.641802,-8.64021,-8.638506,-8.636781,-8.634963,-8.633085,-8.6311035,-8.629047,-8.626982,-8.624797,-8.62249,-8.62009,-8.617592,-8.614991,-8.612284,-8.609497,-8.606594,-8.603536,-8.600353,-8.597042,-8.593596,-8.590016,-8.586294,-8.582432,-8.578385,-8.574158,-8.569792,-8.565254,-8.560542,-8.555702,-8.550683,-8.54553,-8.540192,-8.534682,-8.5290365,-8.523149,-8.517054,-8.510782,-8.50437,-8.497796,-8.49101,-8.484046,-8.476919,-8.469614,-8.462145,-8.454464,-8.4465885,-8.438552,-8.430359,-8.421974,-8.413382,-8.404636,-8.3957205,-8.386638,-8.377406,-8.367988,-8.358398,-8.348661,-8.338752,-8.32871,-8.318501,-8.308134,-8.297643,-8.287017,-8.276266,-8.265364,-8.254332,-8.2431965,-8.231947,-8.220581,-8.209099,-8.197517,-8.185848,-8.174089,-8.1622505,-8.150335,-8.138344,-8.126276,-8.114157,-8.101979,-8.089752,-8.077487,-8.065187,-8.052863,-8.040514,-8.02815,-8.015775,-8.003409
16/06/28 09:00:00,-8.634421,-8.632254,-8.630272,-8.628198,-8.626197,-8.624198,-8.622163,-8.620051,-8.617926,-8.615886,-8.613823,-8.6117325,-8.6095085,-8.607247,-8.604979,-8.602666,-8.600333,-8.597878,-8.595399,-8.592855,-8.590208,-8.5875225,-8.584758,-8.581878,-8.57891,-8.575886,-8.572733,-8.5694475,-8.566093,-8.5626335,-8.5590315,-8.555348,-8.55155,-8.54758,-8.543487,-8.539285,-8.534956,-8.530478,-8.525881,-8.52113,-8.516223,-8.511194,-8.505987,-8.500619,-8.495121,-8.489474,-8.483679,-8.477716,-8.4716,-8.465382,-8.458975,-8.452365,-8.445634,-8.43873,-8.431638,-8.424405,-8.417018,-8.4094925,-8.4018135,-8.393965,-8.385944,-8.377789,-8.369483,-8.360993,-8.352373,-8.343607,-8.334686,-8.325606,-8.316382,-8.30702,-8.297513,-8.287868,-8.278076,-8.268153,-8.258125,-8.247955,-8.237628,-8.227196,-8.216645,-8.205971,-8.195182,-8.184282,-8.173272,-8.162144,-8.150897,-8.139547,-8.12809,-8.11653,-8.104874,-8.093117,-8.081251,-8.069283,-8.057208,-8.045026,-8.032735,-8.020333,-8.007816,-7.995178,-7.9824133,-7.9695053
