"Date Heure, GMT+01:00",Température (K) pour la profondeur 0.0020 m,Température (K) pour la profondeur 0.0060 m,Température (K) pour la profondeur 0.0100 m,Température (K) pour la profondeur 0.0140 m,Température (K) pour la profondeur 0.0180 m,Température (K) pour la profondeur 0.0220 m,Température (K) pour la profondeur 0.0260 m,Température (K) pour la profondeur 0.0300 m,Température (K) pour la profondeur 0.0340 m,Température (K) pour la profondeur 0.0380 m,Température (K) pour la profondeur 0.0420 m,Température (K) pour la profondeur 0.0460 m,Température (K) pour la profondeur 0.0500 m,Température (K) pour la profondeur 0.0540 m,Température (K) pour la profondeur 0.0580 m,Température (K) pour la profondeur 0.0620 m,Température (K) pour la profondeur 0.0660 m,Température (K) pour la profondeur 0.0700 m,Température (K) pour la profondeur 0.0740 m,Température (K) pour la profondeur 0.0780 m,Température (K) pour la profondeur 0.0820 m,Température (K) pour la profondeur 0.0860 m,Température (K) pour la profondeur 0.0900 m,Température (K) pour la profondeur 0.0940 m,Température (K) pour la profondeur 0.0980 m,Température (K) pour la profondeur 0.1020 m,Température (K) pour la profondeur 0.1060 m,Température (K) pour la profondeur 0.1100 m,Température (K) pour la profondeur 0.1140 m,Température (K) pour la profondeur 0.1180 m,Température (K) pour la profondeur 0.1220 m,Température (K) pour la profondeur 0.1260 m,Température (K) pour la profondeur 0.1300 m,Température (K) pour la profondeur 0.1340 m,Température (K) pour la profondeur 0.1380 m,Température (K) pour la profondeur 0.1420 m,Température (K) pour la profondeur 0.1460 m,Température (K) pour la profondeur 0.1500 m,Température (K) pour la profondeur 0.1540 m,Température (K) pour la profondeur 0.1580 m,Température (K) pour la profondeur 0.1620 m,Température (K) pour la profondeur 0.1660 m,Température (K) pour la profondeur 0.1700 m,Température (K) pour la profondeur 0.1740 m,Température (K) pour la profondeur 0.1780 m,Température (K) pour la profondeur 0.1820 m,Température (K) pour la profondeur 0.1860 m,Température (K) pour la profondeur 0.1900 m,Température (K) pour la profondeur 0.1940 m,Température (K) pour la profondeur 0.1980 m,Température (K) pour la profondeur 0.2020 m,Température (K) pour la profondeur 0.2060 m,Température (K) pour la profondeur 0.2100 m,Température (K) pour la profondeur 0.2140 m,Température (K) pour la profondeur 0.2180 m,Température (K) pour la profondeur 0.2220 m,Température (K) pour la profondeur 0.2260 m,Température (K) pour la profondeur 0.2300 m,Température (K) pour la profondeur 0.2340 m,Température (K) pour la profondeur 0.2380 m,Température (K) pour la profondeur 0.2420 m,Température (K) pour la profondeur 0.2460 m,Température (K) pour la profondeur 0.2500 m,Température (K) pour la profondeur 0.2540 m,Température (K) pour la profondeur 0.2580 m,Température (K) pour la profondeur 0.2620 m,Température (K) pour la profondeur 0.2660 m,Température (K) pour la profondeur 0.2700 m,Température (K) pour la profondeur 0.2740 m,Température (K) pour la profondeur 0.2780 m,Température (K) pour la profondeur 0.2820 m,Température (K) pour la profondeur 0.2860 m,Température (K) pour la profondeur 0.2900 m,Température (K) pour la profondeur 0.2940 m,Température (K) pour la profondeur 0.2980 m,Température (K) pour la profondeur 0.3020 m,Température (K) pour la profondeur 0.3060 m,Température (K) pour la profondeur 0.3100 m,Température (K) pour la profondeur 0.3140 m,Température (K) pour la profondeur 0.3180 m,Température (K) pour la profondeur 0.3220 m,Température (K) pour la profondeur 0.3260 m,Température (K) pour la profondeur 0.3300 m,Température (K) pour la profondeur 0.3340 m,Température (K) pour la profondeur 0.3380 m,Température (K) pour la profondeur 0.3420 m,Température (K) pour la profondeur 0.3460 m,Température (K) pour la profondeur 0.3500 m,Température (K) pour la profondeur 0.3540 m,Température (K) pour la profondeur 0.3580 m,Température (K) pour la profondeur 0.3620 m,Température (K) pour la profondeur 0.3660 m,Température (K) pour la profondeur 0.3700 m,Température (K) pour la profondeur 0.3740 m,Température (K) pour la profondeur 0.3780 m,Température (K) pour la profondeur 0.3820 m,Température (K) pour la profondeur 0.3860 m,Température (K) pour la profondeur 0.3900 m,Température (K) pour la profondeur 0.3940 m,Température (K) pour la profondeur 0.3980 m
17/05/25 13:00:00,288.03024,287.9545,287.88208,287.8129,287.7469,287.684,287.62405,287.56705,287.51288,287.4615,287.41275,287.36664,287.32303,287.2819,287.2431,287.20663,287.17236,287.14023,287.11017,287.08212,287.05597,287.03165,287.00912,286.98828,286.96906,286.95142,286.93524,286.92047,286.90704,286.8949,286.88394,286.87415,286.8654,286.85767,286.85083,286.84488,286.83975,286.83533,286.83157,286.82843,286.82584,286.8237,286.822,286.82062,286.81952,286.81866,286.818,286.8174,286.81686,286.8163,286.81567,286.8149,286.81393,286.81274,286.81122,286.80936,286.80704,286.8043,286.80096,286.7971,286.79257,286.78735,286.78137,286.7746,286.767,286.75848,286.749,286.73853,286.727,286.71436,286.70056,286.68558,286.66934,286.6518,286.6329,286.61264,286.5909,286.56772,286.543,286.5167,286.48877,286.4592,286.4279,286.39487,286.36005,286.3234,286.28485,286.24442,286.20203,286.15762,286.1112,286.0627,286.01212,285.95938,285.90445,285.8473,285.78787,285.72617,285.66214,285.59576
17/05/25 13:15:00,288.1238,288.07184,288.01987,287.9682,287.91696,287.8664,287.8167,287.76797,287.72037,287.6739,287.6287,287.5848,287.54233,287.50125,287.46164,287.4235,287.3868,287.35162,287.31793,287.2857,287.25488,287.22556,287.19757,287.171,287.14572,287.12177,287.09906,287.07758,287.05728,287.03815,287.02008,287.00302,286.98697,286.9718,286.9575,286.94403,286.93127,286.91925,286.90787,286.89703,286.88675,286.87695,286.86755,286.85852,286.8498,286.8413,286.833,286.82483,286.8168,286.80878,286.80078,286.79266,286.78445,286.77606,286.76746,286.75854,286.74933,286.73965,286.72955,286.71896,286.7078,286.69604,286.68365,286.67062,286.6569,286.6424,286.6271,286.61096,286.59393,286.576,286.5571,286.53726,286.51642,286.49457,286.4717,286.4478,286.42282,286.39676,286.3696,286.34137,286.31198,286.2815,286.24994,286.21732,286.18365,286.149,286.11337,286.07684,286.03943,286.00125,285.96243,285.923,285.88312,285.84286,285.8025,285.76212,285.7219,285.68213,285.64304,285.60486
17/05/25 13:30:00,288.19254,288.1443,288.097,288.0505,288.00485,287.96005,287.91605,287.87286,287.8305,287.78903,287.74835,287.70853,287.6696,287.6315,287.59433,287.55804,287.52277,287.48843,287.45502,287.42258,287.3911,287.3606,287.33102,287.3024,287.27466,287.2478,287.22183,287.19675,287.17255,287.1492,287.12665,287.1049,287.08392,287.06366,287.04407,287.02512,287.00677,286.989,286.97174,286.955,286.9387,286.9228,286.9073,286.8921,286.87717,286.86246,286.84796,286.83362,286.81934,286.80518,286.79095,286.77676,286.76245,286.74808,286.73352,286.71878,286.7038,286.68857,286.673,286.6571,286.64087,286.62424,286.60718,286.5896,286.57147,286.55283,286.53366,286.51392,286.49356,286.4726,286.45102,286.42874,286.40585,286.3823,286.35806,286.3332,286.30762,286.28137,286.25443,286.2268,286.19858,286.16974,286.14026,286.1102,286.07953,286.04825,286.01648,285.98416,285.95135,285.91803,285.88425,285.84998,285.81528,285.78012,285.74448,285.70828,285.6716,285.63437,285.59644,285.5577
17/05/25 13:45:00,288.26965,288.22357,288.1781,288.13336,288.0893,288.04596,288.00333,287.96143,287.92026,287.87982,287.8402,287.80133,287.7632,287.7259,287.68933,287.65356,287.61847,287.58414,287.5506,287.51776,287.48566,287.4543,287.4237,287.3938,287.3646,287.3361,287.30823,287.28107,287.25452,287.2286,287.20328,287.17853,287.1543,287.13058,287.10742,287.08475,287.06253,287.04077,287.01947,286.99857,286.978,286.95776,286.9378,286.9181,286.89862,286.87936,286.86026,286.84128,286.82245,286.80365,286.7849,286.7662,286.7475,286.72873,286.70993,286.69104,286.67197,286.65274,286.6334,286.61383,286.59406,286.574,286.55368,286.53305,286.51218,286.49097,286.4694,286.44742,286.42508,286.4024,286.3793,286.35583,286.3319,286.3076,286.28284,286.2577,286.23212,286.20615,286.17978,286.15298,286.1257,286.09805,286.07,286.04156,286.0128,285.98367,285.95422,285.92444,285.89438,285.864,285.83337,285.8025,285.77142,285.7402,285.7089,285.67755,285.6462,285.61496,285.58395,285.55325
17/05/25 14:00:00,288.35895,288.3117,288.26538,288.21985,288.17514,288.13126,288.08817,288.04584,288.00427,287.96347,287.92334,287.88394,287.84525,287.8073,287.77008,287.73352,287.69766,287.66248,287.62796,287.59412,287.56088,287.52826,287.49628,287.46487,287.43408,287.40384,287.37418,287.34506,287.31647,287.28833,287.2607,287.23358,287.20694,287.18073,287.15494,287.12958,287.10464,287.08002,287.05576,287.03183,287.0082,286.98483,286.96173,286.93884,286.91614,286.89362,286.87128,286.84906,286.82697,286.805,286.78308,286.76123,286.73944,286.71765,286.69586,286.67407,286.65225,286.63037,286.60837,286.58627,286.56406,286.54172,286.51923,286.49655,286.4737,286.45065,286.42743,286.40402,286.38043,286.3566,286.33258,286.30835,286.2839,286.2592,286.23425,286.20905,286.1836,286.1579,286.132,286.10583,286.0795,286.05295,286.0262,285.99924,285.97208,285.94473,285.91724,285.8896,285.86182,285.83392,285.8059,285.77786,285.7498,285.72165,285.69348,285.66528,285.63705,285.6088,285.58054,285.55225
17/05/25 14:15:00,288.44382,288.39618,288.34927,288.30307,288.25766,288.21295,288.16898,288.12573,288.0832,288.04135,288.00024,287.9598,287.92007,287.88104,287.84265,287.80493,287.76782,287.73135,287.69553,287.66025,287.62558,287.5915,287.55798,287.52502,287.49258,287.46066,287.42923,287.39825,287.36777,287.33774,287.30814,287.279,287.2502,287.22186,287.1939,287.16632,287.13907,287.11218,287.0856,287.0593,287.0333,287.00757,286.98206,286.95676,286.9317,286.9068,286.88208,286.85754,286.8332,286.80893,286.7848,286.76074,286.73672,286.71283,286.68893,286.6651,286.6413,286.6175,286.59372,286.56992,286.54608,286.5222,286.49826,286.47433,286.45035,286.4263,286.4022,286.37796,286.35367,286.32928,286.3048,286.2802,286.2555,286.2307,286.2058,286.18082,286.15576,286.1306,286.10535,286.08002,286.05457,286.02908,286.00348,285.97787,285.95224,285.9266,285.90097,285.8753,285.84967,285.82407,285.79852,285.773,285.74756,285.72223,285.69702,285.67197,285.6471,285.62244,285.59805,285.57394
17/05/25 14:30:00,288.53094,288.4816,288.43314,288.38547,288.33853,288.29236,288.247,288.2024,288.1585,288.11536,288.07294,288.03116,287.99008,287.94965,287.90988,287.8708,287.83228,287.79437,287.75702,287.72028,287.68408,287.64844,287.61334,287.57877,287.5447,287.5111,287.47803,287.4454,287.41324,287.38147,287.35013,287.31918,287.28864,287.25845,287.22867,287.19925,287.17017,287.14136,287.11288,287.08475,287.05685,287.02924,287.00186,286.9747,286.94775,286.92105,286.89456,286.86826,286.84213,286.81616,286.79034,286.76465,286.7391,286.71365,286.68832,286.6631,286.63794,286.61285,286.5878,286.56287,286.53793,286.51306,286.48825,286.4634,286.43863,286.41385,286.38907,286.3643,286.3395,286.31473,286.28992,286.2651,286.24033,286.2155,286.1907,286.1659,286.14108,286.11624,286.0914,286.06656,286.04178,286.01697,285.9922,285.9674,285.94263,285.91788,285.89316,285.86844,285.84375,285.81906,285.79446,285.76993,285.74542,285.72092,285.69644,285.67197,285.64752,285.6231,285.5987,285.57428
17/05/25 14:45:00,288.64285,288.58954,288.5373,288.48605,288.43582,288.38657,288.3382,288.2907,288.24408,288.19827,288.1533,288.10913,288.06567,288.023,287.98102,287.93973,287.8991,287.8591,287.81976,287.781,287.7429,287.70535,287.66837,287.63187,287.59592,287.5605,287.52554,287.49112,287.45712,287.4236,287.39053,287.35788,287.32565,287.29382,287.26233,287.2312,287.20044,287.16998,287.13986,287.11005,287.0806,287.05142,287.02252,286.99387,286.96548,286.93732,286.9094,286.88162,286.85406,286.8267,286.79956,286.77258,286.74576,286.7191,286.6926,286.66623,286.63998,286.61386,286.58786,286.56192,286.5361,286.51038,286.4847,286.45914,286.43365,286.40823,286.38287,286.35757,286.33237,286.30722,286.28214,286.25714,286.23218,286.20724,286.18234,286.1575,286.1327,286.10797,286.08328,286.05862,286.03397,286.00934,285.98477,285.96024,285.93573,285.91122,285.88678,285.86243,285.83807,285.81378,285.78952,285.7653,285.7411,285.71695,285.69287,285.66888,285.645,285.6212,285.59744,285.57382
17/05/25 15:00:00,288.71198,288.6604,288.60934,288.55893,288.5091,288.4599,288.41138,288.3635,288.31628,288.26974,288.22385,288.1786,288.13406,288.09012,288.04684,288.00418,287.96213,287.9207,287.87982,287.83954,287.79984,287.76065,287.72202,287.684,287.64645,287.60938,287.57285,287.5368,287.5012,287.46603,287.43134,287.39706,287.36322,287.3298,287.29675,287.2641,287.23178,287.1999,287.16833,287.13712,287.10617,287.0756,287.0453,287.0153,286.98553,286.95605,286.92682,286.89786,286.8691,286.8406,286.81232,286.78424,286.75635,286.72867,286.70117,286.67386,286.6467,286.61966,286.59277,286.56607,286.5395,286.51303,286.48672,286.4605,286.43442,286.40845,286.3826,286.35687,286.33118,286.30557,286.2801,286.2547,286.22937,286.20416,286.17905,286.154,286.12903,286.10416,286.0793,286.05457,286.0299,286.0053,285.98074,285.95624,285.9318,285.90744,285.88315,285.85892,285.83472,285.81058,285.7865,285.7625,285.73865,285.71484,285.69113,285.66748,285.64395,285.62045,285.59705,285.57373
17/05/25 15:15:00,288.78592,288.7326,288.68008,288.62833,288.57736,288.52713,288.47763,288.42883,288.38074,288.33325,288.28644,288.24033,288.1948,288.1499,288.10562,288.06192,288.0188,287.97626,287.9343,287.89288,287.85202,287.8117,287.7719,287.73264,287.69388,287.65564,287.61783,287.58047,287.54358,287.50717,287.47122,287.43567,287.4005,287.3658,287.33148,287.29758,287.26407,287.23087,287.198,287.1655,287.1333,287.10138,287.06982,287.03854,287.0076,286.97693,286.94656,286.91644,286.88663,286.8571,286.82773,286.7986,286.76978,286.74112,286.7127,286.68448,286.6564,286.62854,286.60083,286.57333,286.54605,286.51895,286.49197,286.46518,286.4385,286.41202,286.38568,286.35944,286.33334,286.30734,286.2815,286.25574,286.23013,286.2046,286.1792,286.1539,286.1287,286.10358,286.07858,286.05365,286.02884,286.00412,285.9795,285.95493,285.93048,285.9061,285.88177,285.85757,285.83347,285.80945,285.78552,285.76166,285.73785,285.71414,285.69052,285.66696,285.6435,285.62012,285.59683,285.57364
17/05/25 15:30:00,288.8984,288.8402,288.78314,288.72714,288.67215,288.61816,288.56512,288.51297,288.4617,288.41132,288.36176,288.31296,288.26498,288.21774,288.1712,288.1254,288.0803,288.03583,287.99203,287.94882,287.90625,287.86426,287.8228,287.78195,287.74167,287.70187,287.66263,287.6239,287.58563,287.54785,287.51056,287.4737,287.4373,287.40134,287.3658,287.3307,287.29593,287.26157,287.22757,287.19394,287.16064,287.12772,287.0951,287.06284,287.03088,286.99927,286.96793,286.93692,286.90613,286.87558,286.84534,286.81534,286.78555,286.75604,286.72678,286.69775,286.66898,286.64044,286.61212,286.58398,286.55606,286.52832,286.5008,286.47342,286.44623,286.4192,286.39233,286.36566,286.3391,286.31274,286.28653,286.26044,286.23453,286.20877,286.18314,286.15768,286.1324,286.1072,286.08218,286.05734,286.03262,286.00806,285.98364,285.95938,285.93524,285.91125,285.88748,285.86386,285.84042,285.81714,285.79407,285.77115,285.74847,285.72598,285.70374,285.68173,285.65997,285.6385,285.61728,285.59637
17/05/25 15:45:00,289.0053,288.9448,288.8853,288.8268,288.76932,288.71274,288.65714,288.60245,288.54865,288.4957,288.4436,288.39236,288.34195,288.29233,288.24347,288.19537,288.148,288.1014,288.05548,288.01025,287.9657,287.92178,287.87854,287.83588,287.79382,287.75235,287.71146,287.6711,287.63132,287.59204,287.55325,287.51492,287.47705,287.43967,287.4027,287.36624,287.3302,287.29462,287.25943,287.22464,287.19025,287.1562,287.12253,287.0892,287.05624,287.0236,286.99127,286.9593,286.92764,286.89627,286.8652,286.8344,286.8039,286.77368,286.74374,286.71405,286.6846,286.65536,286.62637,286.5976,286.56906,286.54074,286.51266,286.4848,286.45718,286.42972,286.40244,286.37537,286.3485,286.3218,286.29532,286.269,286.24286,286.2169,286.1911,286.16547,286.14,286.11478,286.0897,286.06476,286.04,286.01544,285.991,285.96674,285.94266,285.91876,285.89496,285.87134,285.84784,285.82452,285.80133,285.7783,285.75534,285.73254,285.70984,285.68716,285.6646,285.64212,285.6197,285.5973
17/05/25 16:00:00,289.11194,289.04883,288.9868,288.9258,288.86584,288.80685,288.74887,288.69183,288.63574,288.5806,288.5263,288.4729,288.42035,288.36865,288.31775,288.26764,288.2183,288.1697,288.12183,288.07465,288.0282,287.98245,287.93738,287.89297,287.84918,287.80603,287.76346,287.72144,287.67996,287.63904,287.59866,287.55884,287.51953,287.4807,287.4424,287.40457,287.36722,287.3303,287.29382,287.25778,287.22217,287.18698,287.1522,287.11777,287.08374,287.0501,287.0168,286.9839,286.95132,286.91907,286.88712,286.85553,286.82425,286.79327,286.76257,286.73218,286.70203,286.67218,286.64258,286.61322,286.5841,286.55524,286.52658,286.49817,286.47,286.44208,286.41434,286.38684,286.35956,286.3325,286.3056,286.27893,286.25244,286.22614,286.20004,286.17413,286.14838,286.12283,286.09744,286.07224,286.04715,286.0222,285.99744,285.97284,285.9484,285.92407,285.89987,285.87582,285.85193,285.82816,285.8045,285.78098,285.75757,285.73425,285.71106,285.68802,285.6651,285.64233,285.61972,285.59726
17/05/25 16:15:00,289.2188,289.15344,289.08914,289.0259,288.9637,288.90256,288.84235,288.78314,288.72488,288.66754,288.61108,288.55554,288.5009,288.44705,288.39407,288.34192,288.2906,288.24005,288.1903,288.1413,288.09305,288.0455,287.99863,287.9524,287.90686,287.86197,287.8177,287.77405,287.73102,287.6886,287.64673,287.6054,287.56467,287.52448,287.48477,287.44556,287.4069,287.36874,287.33105,287.29382,287.2571,287.22083,287.18494,287.1495,287.11447,287.0798,287.04553,287.0116,286.97803,286.94482,286.91202,286.87955,286.84744,286.8156,286.78412,286.75293,286.72205,286.69144,286.6611,286.63107,286.60132,286.57184,286.5426,286.51364,286.4849,286.4564,286.42816,286.40018,286.37244,286.34494,286.3177,286.29062,286.26376,286.23712,286.2107,286.18448,286.15845,286.13263,286.1071,286.0817,286.05655,286.03165,286.00693,285.9824,285.95804,285.9339,285.90997,285.88626,285.86276,285.83948,285.81644,285.79364,285.77106,285.74875,285.72662,285.7048,285.68326,285.662,285.64096,285.62027
17/05/25 16:30:00,289.32562,289.25797,289.1914,289.12595,289.06155,288.99823,288.9359,288.8746,288.81427,288.75488,288.69644,288.63892,288.58224,288.52652,288.4717,288.41772,288.3646,288.31223,288.26065,288.20984,288.1598,288.11047,288.06192,288.0141,287.96692,287.92047,287.8747,287.82956,287.78506,287.74118,287.6979,287.6552,287.61307,287.57153,287.53055,287.4901,287.45016,287.41074,287.3718,287.33334,287.29532,287.25775,287.2207,287.18408,287.1479,287.11218,287.07687,287.042,287.0075,286.9734,286.93964,286.90625,286.8732,286.84055,286.80823,286.7762,286.74457,286.71323,286.6822,286.65146,286.62103,286.5909,286.56107,286.5315,286.50223,286.47327,286.44455,286.41608,286.38788,286.35992,286.33218,286.30472,286.27753,286.25058,286.22388,286.19742,286.1712,286.1452,286.1194,286.0938,286.06845,286.04327,286.0183,285.99353,285.969,285.94464,285.92047,285.8965,285.87277,285.84918,285.82578,285.80255,285.77945,285.75647,285.73367,285.711,285.68842,285.66595,285.6436,285.62122
17/05/25 16:45:00,289.443,289.37204,289.3023,289.23383,289.16653,289.10037,289.03537,288.97144,288.90857,288.84677,288.78595,288.72614,288.66733,288.60944,288.5525,288.49643,288.44122,288.3869,288.33337,288.28067,288.2288,288.1777,288.12738,288.07782,288.02902,287.98093,287.9335,287.88675,287.84067,287.7952,287.75037,287.70618,287.66263,287.61966,287.57727,287.53543,287.49417,287.45346,287.41324,287.37357,287.3344,287.29572,287.2575,287.2198,287.18253,287.14572,287.10934,287.0734,287.0379,287.00278,286.96808,286.93378,286.89987,286.86636,286.8332,286.8004,286.76797,286.7359,286.7042,286.67276,286.64166,286.6109,286.58044,286.55032,286.5205,286.49097,286.4617,286.43274,286.40402,286.37558,286.34747,286.3196,286.29196,286.2646,286.2374,286.21042,286.18365,286.15714,286.13083,286.10474,286.07886,286.05322,286.0278,286.00256,285.9775,285.95264,285.92795,285.90344,285.8791,285.85492,285.83087,285.80698,285.78326,285.75974,285.73636,285.7131,285.68997,285.66696,285.64407,285.62137
