"Date Heure, GMT+01:00",Température 1 (K),Température 2 (K),Température 3 (K),Température 4 (K)
2016-06-27 12:00:00,286.96,286.984,287.008,286.96
2016-06-27 12:15:00,286.984,287.008,287.032,286.984
2016-06-27 12:30:00,287.08,287.104,287.2,287.152
2016-06-27 12:45:00,287.032,287.104,287.176,287.104
2016-06-27 13:00:00,287.008,287.08,287.176,287.104
2016-06-27 13:15:00,287.032,287.08,287.152,287.08
2016-06-27 13:30:00,287.032,287.08,287.152,287.08
2016-06-27 13:45:00,287.056,287.08,287.152,287.08
2016-06-27 14:00:00,287.056,287.08,287.152,287.056
2016-06-27 14:15:00,287.08,287.08,287.128,287.056
2016-06-27 14:30:00,287.08,287.08,287.128,287.056
2016-06-27 14:45:00,287.104,287.08,287.128,287.056
2016-06-27 15:00:00,287.128,287.08,287.128,287.032
2016-06-27 15:15:00,287.152,287.08,287.128,287.032
2016-06-27 15:30:00,287.176,287.08,287.104,287.032
2016-06-27 15:45:00,287.2,287.08,287.104,287.032
2016-06-27 16:00:00,287.224,287.104,287.104,287.032
2016-06-27 16:15:00,287.248,287.104,287.104,287.032
2016-06-27 16:30:00,287.272,287.104,287.104,287.032
2016-06-27 16:45:00,287.32,287.104,287.104,287.008
2016-06-27 17:00:00,287.344,287.128,287.104,287.008
2016-06-27 17:15:00,287.368,287.128,287.104,287.008
2016-06-27 17:30:00,287.416,287.152,287.104,287.008
2016-06-27 17:45:00,287.44,287.152,287.104,287.008
2016-06-27 18:00:00,287.464,287.176,287.104,287.008
2016-06-27 18:15:00,287.51099999999997,287.176,287.128,287.008
2016-06-27 18:30:00,287.53499999999997,287.2,287.128,287.008
2016-06-27 18:45:00,287.55899999999997,287.2,287.128,287.008
2016-06-27 19:00:00,287.58299999999997,287.224,287.128,287.008
2016-06-27 19:15:00,287.60699999999997,287.224,287.128,287.008
2016-06-27 19:30:00,287.631,287.248,287.152,287.008
2016-06-27 19:45:00,287.655,287.272,287.152,287.008
2016-06-27 20:00:00,287.655,287.272,287.152,287.008
2016-06-27 20:15:00,287.679,287.296,287.152,287.008
2016-06-27 20:30:00,287.703,287.296,287.152,287.008
2016-06-27 20:45:00,287.703,287.32,287.176,287.008
2016-06-27 21:00:00,287.727,287.32,287.176,287.008
2016-06-27 21:15:00,287.751,287.344,287.176,287.008
2016-06-27 21:30:00,287.751,287.344,287.2,287.008
2016-06-27 21:45:00,287.775,287.368,287.2,287.008
2016-06-27 22:00:00,287.775,287.368,287.2,287.008
2016-06-27 22:15:00,287.775,287.392,287.2,287.008
2016-06-27 22:30:00,287.799,287.392,287.224,287.032
2016-06-27 22:45:00,287.799,287.416,287.224,287.032
2016-06-27 23:00:00,287.799,287.416,287.248,287.032
2016-06-27 23:15:00,287.799,287.44,287.248,287.032
2016-06-27 23:30:00,287.799,287.44,287.248,287.032
2016-06-27 23:45:00,287.799,287.44,287.248,287.032
2016-06-28 00:00:00,287.799,287.464,287.248,287.032
2016-06-28 00:15:00,287.775,287.464,287.248,287.032
2016-06-28 00:30:00,287.775,287.464,287.272,287.056
2016-06-28 00:45:00,287.751,287.464,287.272,287.056
2016-06-28 01:00:00,287.751,287.48699999999997,287.272,287.056
2016-06-28 01:15:00,287.727,287.48699999999997,287.272,287.056
2016-06-28 01:30:00,287.727,287.464,287.296,287.056
2016-06-28 01:45:00,287.703,287.48699999999997,287.296,287.056
2016-06-28 02:00:00,287.679,287.48699999999997,287.296,287.056
2016-06-28 02:15:00,287.679,287.48699999999997,287.296,287.056
2016-06-28 02:30:00,287.655,287.464,287.296,287.056
2016-06-28 02:45:00,287.631,287.464,287.296,287.08
2016-06-28 03:00:00,287.58299999999997,287.464,287.296,287.08
2016-06-28 03:15:00,287.55899999999997,287.464,287.32,287.08
2016-06-28 03:30:00,287.53499999999997,287.464,287.32,287.08
2016-06-28 03:45:00,287.51099999999997,287.44,287.32,287.08
2016-06-28 04:00:00,287.48699999999997,287.44,287.32,287.08
2016-06-28 04:15:00,287.464,287.44,287.296,287.08
2016-06-28 04:30:00,287.44,287.44,287.296,287.08
2016-06-28 04:45:00,287.416,287.416,287.296,287.08
2016-06-28 05:00:00,287.392,287.416,287.296,287.08
2016-06-28 05:15:00,287.368,287.392,287.296,287.08
2016-06-28 05:30:00,287.368,287.392,287.296,287.08
2016-06-28 05:45:00,287.344,287.368,287.296,287.08
2016-06-28 06:00:00,287.32,287.368,287.296,287.08
2016-06-28 06:15:00,287.296,287.344,287.272,287.08
2016-06-28 06:30:00,287.272,287.344,287.272,287.08
2016-06-28 06:45:00,287.272,287.344,287.272,287.08
2016-06-28 07:00:00,287.248,287.32,287.272,287.08
2016-06-28 07:15:00,287.248,287.32,287.272,287.08
2016-06-28 07:30:00,287.224,287.296,287.272,287.08
2016-06-28 07:45:00,287.224,287.296,287.248,287.08
2016-06-28 08:00:00,287.224,287.272,287.248,287.08
2016-06-28 08:15:00,287.2,287.272,287.248,287.08
2016-06-28 08:30:00,287.2,287.272,287.248,287.08
2016-06-28 08:45:00,287.2,287.248,287.248,287.08
2016-06-28 09:00:00,287.2,287.248,287.224,287.056
2016-06-28 09:15:00,287.2,287.248,287.224,287.056
2016-06-28 09:30:00,287.176,287.248,287.224,287.056
2016-06-28 09:45:00,287.176,287.224,287.224,287.056
2016-06-28 10:00:00,287.176,287.224,287.224,287.056
2016-06-28 10:15:00,287.176,287.224,287.2,287.056
2016-06-28 10:30:00,287.2,287.2,287.2,287.056
2016-06-28 10:45:00,287.2,287.2,287.2,287.056
2016-06-28 11:00:00,287.2,287.2,287.2,287.056
2016-06-28 11:15:00,287.224,287.2,287.2,287.056
